episode,r,l
0,-58.636711188250416,12
1,-158.5542257060678,76
2,-54.13967417755148,32
3,-52.5,3
4,-50.1,1
5,-50.1,1
6,-54.2,4
7,-122.8496293172413,116
8,-62.20555127546399,21
9,-50.4,3
10,-53.21966011250105,12
11,-50.800000000000004,2
12,-51.676960874635135,13
13,-269.67436639405463,235
14,-307.689415738448,198
15,-50.1,1
16,-53.2,4
17,-62.5,30
18,-58.52310562561766,19
19,-50.855728090000845,2
20,-83.5,64
21,-50.1,1
22,-54.94987562112089,8
23,-65.48512788825431,19
24,-50.1,1
25,-52.2,4
26,-67.7741260506259,36
27,-109.31285050417483,84
28,-57.66265153064616,9
29,-61.75792877080176,12
30,-437.45351535756464,240
31,-52.26900733835254,4
32,-56.37689437438234,15
33,-100.2305167020358,54
34,-51.800000000000004,5
35,-56.2,10
36,-113.43720542413088,93
37,-50.1,1
38,-91.51009821065827,73
39,-99.53371789315977,103
40,-50.1,1
41,-52.5,3
42,-52.5,3
43,-54.917837245195784,9
44,-144.25538513813754,175
45,-57.04410819261579,11
46,-52.5,3
47,-51.1,4
48,-50.1,1
49,-246.2870376481178,86
50,-98.95993248125592,114
51,-53.652851848448535,6
52,-81.9538519392311,52
53,-58.0,11
54,-79.30787585060024,62
55,-63.98204056970165,46
56,-53.5,9
57,-108.30508510699832,125
58,-63.599999999999994,22
59,-50.800000000000004,2
60,-54.6,9
61,-50.1,1
62,-53.6,6
63,-91.34671497735818,111
64,-50.1,1
65,-55.300000000000004,7
66,-61.55096967061809,23
67,-69.1142135623731,36
68,-54.900000000000006,8
69,-205.67032961426918,233
70,-50.800000000000004,2
71,-50.800000000000004,2
72,-51.1,1
73,-53.05434713018702,5
74,-53.5,9
75,-91.60000000000002,80
76,-50.87106781186548,2
77,-71.28861676805786,52
78,-131.3579287708019,169
79,-54.28165147267076,7
80,-70.38761787282233,26
81,-50.1,1
82,-80.79901951359278,72
83,-70.64987437106619,34
84,-76.93269061363537,82
85,-58.900000000000006,20
86,-94.60000000000002,57
87,-89.60270608609562,74
88,-107.60000000000007,119
89,-54.68276253029822,6
90,-65.22391431630588,40
91,-77.5,59
92,-76.56887370085813,87
93,-57.400000000000006,13
94,-109.31597353999831,163
95,-52.614213562373095,30
96,-101.63499983436571,91
97,-51.88276253029822,5
98,-87.42786404500043,101
99,-62.60294532740721,34
100,-65.6222153777621,37
101,-81.6827625302982,44
102,-61.039172034550724,37
103,-65.1972652626014,68
104,-64.19956745282705,9
105,-62.11888799957006,33
106,-75.81827391485083,88
107,-50.50312423743285,21
108,-58.57886937876351,34
109,-61.02893218813452,31
110,-49.24630014280877,21
111,-50.408810063566925,6
112,-54.342713291005666,15
113,-48.67835563828914,19
114,-78.02827661624195,46
115,-60.45433540555203,19
116,-52.193779752752334,19
117,-73.37446419325602,71
118,-188.26225774829845,73
119,-50.1,1
120,-45.739862735818406,19
121,-72.29727966993201,82
122,-65.1846030689544,33
123,-63.95680953207059,54
124,-50.800000000000004,2
125,-58.31285594971101,7
126,-55.448450291801606,15
127,-48.300000000000004,15
128,-68.14256107050598,59
129,-64.10877728388535,42
130,-102.64928827727067,58
131,-66.82967038573099,51
132,-56.18901183108322,46
133,-48.99669424655016,14
134,-92.27316015129124,146
135,-53.8380962103094,49
136,60.79999999999998,100
137,-51.75162380011054,10
138,-55.2,13
139,-67.43014581273465,27
140,-54.56321807300534,28
141,-62.717789929770255,45
142,-73.89162239593502,70
143,-52.69375152513431,40
144,-139.5829561071961,195
145,-65.20251884394035,27
146,-62.889534666147505,69
147,-63.1071254384738,32
148,-73.77361849549571,34
149,-50.1,1
150,-71.87213595499958,13
151,-110.98529137598905,103
152,-48.718718294958855,20
153,-46.848350724615585,16
154,-48.67017915411317,4
155,-176.1800346593186,215
156,-51.861780656337416,5
157,-57.620317946657295,28
158,-89.06537264200472,96
159,-202.4857864376271,235
160,-51.5,3
161,-49.20548599746565,32
162,-87.362951536093,82
163,-60.55736931463112,61
164,-54.744508808705866,27
165,-51.110098210658265,6
166,-341.6249721603215,222
167,-76.45937827073017,69
168,-87.30826529877203,98
169,-54.08876983768613,25
170,-110.86227766016844,132
171,-63.52403840463595,48
172,-73.7391720345507,60
173,-50.617237469701784,5
174,-55.14264068711929,8
175,-78.82504564821141,69
176,-54.49287456152619,22
177,-57.0,14
178,-109.08114574786867,117
179,-65.39803902718558,17
180,-50.191559275736374,5
181,-44.1,15
182,-69.9334153204644,42
183,-45.75188051270747,19
184,-47.90050506338834,10
185,-84.50196097281442,127
186,-201.21607978309981,226
187,-120.0656761567333,50
188,-51.14130967938757,4
189,-145.433180608879,226
190,-49.26953573362194,3
191,-54.92188397124996,22
192,-68.71230175676992,57
193,-55.71732730566463,22
194,-56.97217234258755,18
195,-68.36126868825454,42
196,-62.8563788264735,26
197,-78.91350636718498,107
198,-68.3609480919438,75
199,-62.75152335457258,49
