#{"t_start": 1764136921.485908, "env_id": "CityDrone-v0"}
r,l,t
-50.1,1,14.674001
-119.293605,63,14.744025
-53.4,9,14.753455
-52.9,5,14.758829
-68.283954,26,14.785457
-76.21828,39,14.825392
-206.846715,232,15.077915
-96.813933,72,15.158714
-94.594128,46,15.205715
-51.312584,4,15.210187
-238.244563,102,16.838709
-50.490958,2,16.841185
-54.294449,8,16.849511
-89.122923,76,16.929878
-52.2,4,16.934285
-196.436068,146,17.082971
-354.076101,235,17.325009
-50.1,1,17.326451
-51.5,3,17.329849
-52.2,4,17.334201
-57.875815,10,17.345394
-52.027427,6,17.352215
-68.6,28,17.382576
-56.142326,16,17.399492
-72.230952,19,17.419053
-391.63325,78,17.498878
-53.514214,10,17.509369
-160.019723,86,17.596571
-50.1,1,17.598
-50.1,1,17.59942
-259.715322,233,19.600726
-240.334873,206,20.817761
-51.425604,5,20.823359
-91.592359,56,20.880594
-396.963456,227,21.111667
-314.315259,85,21.200307
-99.1696,61,21.262582
-52.1,4,21.266947
-54.4314,8,21.275283
-71.937742,30,21.308142
-50.865373,2,21.310692
-62.641278,27,21.342149
-175.392587,108,21.454312
-66.832051,23,21.477991
-62.911262,20,21.498484
-54.070896,7,21.505937
-50.1,1,21.507354
-56.797411,12,21.519743
-76.007876,43,21.56392
-64.330692,22,21.586482
-291.817485,153,22.376629
-122.0,109,22.489918
-229.386271,226,22.724035
-100.103124,78,22.803449
-52.341428,4,22.807928
-81.510628,24,22.83439
-222.072698,236,23.084175
-65.249806,24,23.109232
-50.1,1,23.110637
-65.190889,28,23.139318
-78.422907,57,23.198044
-58.27564,20,23.218703
-75.303425,40,23.259546
-58.871573,14,23.274052
-50.1,1,23.275472
-52.1,4,23.279879
-50.1,1,23.281299
-86.777226,57,24.063957
-158.395865,91,24.163134
-221.936762,228,25.471329
-56.6,9,25.481259
-238.94627,224,25.72793
-55.35314,11,25.739776
-106.192069,105,25.849774
-68.141657,26,25.876504
-52.464337,5,25.881931
-157.401961,89,25.971457
-52.9,5,25.976921
-273.966019,62,26.040322
-53.2,4,26.04469
-51.5,3,26.04802
-50.8,2,26.050385
-144.969055,206,27.087725
-50.1,1,27.08917
-88.4,60,27.150442
-54.010434,5,27.155908
-68.857775,37,27.193846
-62.015215,21,27.215358
-58.304494,32,27.248083
-71.842641,28,27.277674
-51.807641,9,27.287424
-57.592061,15,27.305463
-269.571997,146,27.454778
-55.917485,10,27.465284
-62.986833,25,27.490681
-52.5,3,27.494093
-53.2,7,27.501628
-50.1,1,27.503023
-183.192359,177,27.687384
-60.9,20,27.708549
-204.978249,61,27.77058
-61.558207,23,27.793903
-50.326273,4,27.798353
-52.2,4,27.802724
-66.539859,33,27.837028
-241.408797,217,28.799564
-76.517554,42,28.845339
-59.627618,12,28.85818
-50.1,1,28.859599
-120.8,98,28.959998
-50.1,1,28.961418
-115.440307,123,30.039574
-74.835793,46,30.088377
-126.333751,116,30.205836
-50.1,1,30.207263
-50.1,1,30.208707
-83.898982,55,30.265566
-189.69902,208,30.480724
-50.1,1,30.482232
-142.41973,152,30.647297
-109.1314,95,30.769326
-67.309858,29,31.498611
-56.368344,16,31.517246
-51.5,3,31.520657
-91.798982,76,31.600964
-57.197101,12,31.613415
-50.8,2,31.615839
-66.254314,23,31.639308
-50.8,2,31.641731
-53.9,5,31.647538
-197.771373,181,31.833123
-89.735793,18,31.85189
-66.209569,31,31.883518
-54.2,7,31.891033
-50.8,2,31.893438
-52.210988,9,31.903393
-92.746951,63,31.967939
-87.044563,69,32.038725
-84.288887,54,32.096787
-144.59536,84,32.182745
-116.01887,125,32.310667
-185.800881,140,32.453765
-56.225046,10,32.464215
-50.1,1,32.465635
-53.294463,8,32.47406
-51.5,3,32.478601
-117.966019,125,33.276295
-120.11828,118,33.396538
-64.696152,25,33.422481
-74.407151,32,33.455341
-123.958895,146,34.561788
-52.9,5,34.567507
-245.846918,172,34.744091
-50.1,1,34.745541
-74.365183,50,34.797333
-59.313855,15,34.812927
-49.470523,7,34.820503
-48.466989,4,34.824902
-62.91973,27,34.852295
-52.5,3,34.855669
-53.9,5,34.861022
-266.616596,110,34.97199
-285.537638,210,35.920668
-192.1149,205,36.141708
-167.304286,195,36.361089
-120.099086,48,36.413235
-53.665373,6,36.420101
-50.1,1,36.422121
-478.227426,204,36.637885
-135.327293,191,36.835108
-212.274008,225,37.679594
-50.1,1,37.681033
-74.361601,51,37.733265
-144.98034,78,37.813983
-49.406873,3,37.817396
-62.497133,27,37.844878
-120.486833,117,38.918827
-112.78034,113,39.037434
-112.139392,98,39.137291
-81.749806,57,39.195912
-81.54949,106,39.31005
-110.841913,113,39.424903
-197.300881,86,39.512391
-147.383807,194,40.437006
-50.1,1,40.438439
-158.708527,180,40.623306
