#{"t_start": 1764171092.5494132, "env_id": "CityDrone-v0"}
r,l,t
-239.743651,76,0.854309
-309.643146,71,0.892738
-521.833718,141,0.990035
-254.105153,124,1.057266
-240.774455,241,1.217683
-215.771597,235,1.367578
-197.848701,38,1.387942
-221.771068,169,1.560922
-217.311103,46,1.59497
-88.559405,30,1.61384
-322.440265,233,1.765121
-302.690826,238,1.922845
-225.406397,147,2.026088
-93.060848,48,2.051551
-138.379546,191,2.199918
-281.951956,220,2.368509
-68.604815,17,2.380686
-223.436364,233,2.560014
-50.714214,15,2.578814
-239.567256,177,2.688918
-79.006896,20,2.704857
-57.140661,17,2.716689
-174.402427,161,2.835283
-69.002677,22,2.858179
-237.576697,229,3.052861
-273.156114,235,3.228922
-667.196152,129,3.306982
-536.569725,236,3.508864
-251.171864,63,3.556373
-299.154245,239,3.717741
-152.641657,44,3.743677
-336.509716,230,3.895252
-236.919535,243,4.049625
-614.161548,230,4.195929
-249.160828,128,4.264044
-64.679212,33,4.284261
