#{"t_start": 1764171047.201977, "env_id": "CityDrone-v0"}
r,l,t
-114.682328,152,1.478979
-225.848811,243,1.702886
-53.066019,48,1.726575
-73.324929,45,1.748037
-52.451936,18,1.779277
-92.6,88,1.850863
-79.685671,79,1.900419
-132.059226,146,1.978659
-125.47795,168,2.059532
-216.785165,241,3.002591
-68.198246,33,3.017916
-117.005551,167,3.093338
-65.24949,38,3.115845
-78.930686,40,3.135007
-81.28733,77,3.169598
-79.653789,79,3.206741
-68.572978,52,3.237802
-56.071068,22,3.25263
-226.787831,237,3.369864
-240.643886,217,4.247779
-52.031326,14,4.255334
-64.21025,19,4.264234
-55.730517,16,4.271718
-192.931483,167,4.362274
-107.442518,123,4.422939
-99.392359,84,4.46145
-226.436427,237,4.597335
-107.540487,125,4.688156
-87.417959,64,5.459465
-103.049834,60,5.486648
-215.923106,233,5.590595
-87.098034,95,5.639279
-103.176894,118,5.696894
-56.824555,29,5.711704
-59.782763,29,5.724964
-224.267944,236,5.82897
-270.747449,234,6.513055
-197.2,176,6.590871
-207.985007,230,6.702154
-107.014599,130,6.759945
-218.114437,232,6.864188
-91.288578,76,6.905333
-47.894495,11,6.91101
