#{"t_start": 1764171111.468054, "env_id": "CityDrone-v0"}
r,l,t
-54.17379,13,0.85966
-51.857733,4,0.862211
-51.543862,26,0.875154
-66.097353,47,0.89802
-52.768653,11,0.920518
-55.324487,14,0.928479
-140.133701,213,1.036011
-53.935841,10,1.041079
-89.051142,103,1.101298
-63.141595,34,1.121765
-50.253082,5,1.128138
-85.448121,66,1.176257
-108.310165,131,1.247738
-54.729422,13,1.254896
-54.532056,7,1.25863
-351.77573,226,1.387548
-300.838096,230,2.411398
-72.827181,49,2.43363
-67.121654,45,2.454207
-54.532288,17,2.461992
-52.574248,32,2.481208
-48.685079,8,2.48534
-50.827709,6,2.488519
-51.45097,5,2.491173
-55.136068,5,2.494949
-55.957171,11,2.500777
-55.943607,15,2.508309
-58.287351,18,2.516741
-156.302224,196,2.614567
-49.497294,3,2.617344
-53.852932,7,2.621065
-59.236068,14,2.628492
-76.337742,83,2.674813
-51.782781,9,2.680774
-77.105905,69,2.718487
-50.935841,4,2.721302
-52.524487,10,2.728111
-199.603124,120,2.794036
-293.742766,220,3.869536
-77.114214,57,3.896126
-55.297054,12,3.904051
-78.183315,46,3.928529
-135.516351,147,3.999529
-108.964414,129,4.063272
-51.911508,12,4.072171
-65.333895,34,4.089501
93.8,12,4.096515
-53.744615,8,4.101476
-61.340116,22,4.114365
-56.9,8,4.119124
-76.158065,60,4.151285
-54.5888,7,4.155417
-95.618758,67,4.189925
-54.107924,8,4.193907
-57.781746,16,4.20148
-147.054213,194,4.293776
-63.0,23,4.307459
-128.330472,59,6.004523
-52.00098,4,6.006831
-60.299732,15,6.019833
-94.753082,100,6.086146
-53.125821,15,6.095614
-51.860609,5,6.101701
-60.420086,52,6.143567
-59.15475,14,6.154117
-71.170687,50,6.180243
-83.999495,58,6.214922
-81.858207,68,6.253386
-58.732944,34,6.273536
-62.472136,20,6.28421
-65.336106,31,6.300064
-49.592022,3,6.301836
-50.828427,7,6.306534
-50.597101,4,6.309157
-60.916257,26,6.328175
-50.09855,9,6.333599
-55.300307,11,6.348396
-67.073618,57,6.385386
-57.823106,9,6.393121
-76.546144,73,6.451649
-69.258903,44,6.481401
-172.781368,106,6.554229
-79.912147,78,6.604954
-159.779754,121,7.708387
-83.8,63,7.75619
-60.044615,34,7.774984
-51.502208,5,7.777743
-50.138552,4,7.782721
-64.541353,28,7.800571
-71.733415,34,7.821676
-63.205734,35,7.844988
-53.41025,20,7.871094
-118.3,128,7.972554
-58.365666,21,7.982937
-56.297275,21,7.996849
-70.254149,31,8.018379
-58.935501,20,8.033246
-55.344489,12,8.039418
-127.873494,76,8.079852
-191.248121,72,8.118215
-76.739275,53,8.148699
-51.720702,8,8.153441
-65.237975,33,8.173954
-59.0,23,8.186404
-59.868344,15,8.20124
-142.554639,165,8.314521
