#{"t_start": 1764171071.898986, "env_id": "CityDrone-v0"}
r,l,t
-50.702325,7,1.116952
-286.926868,221,1.24416
-68.5,31,1.269218
-91.763188,81,1.324757
-98.874964,95,1.397299
-152.902325,98,1.448659
-51.885786,12,1.455511
-49.833415,2,1.456973
-115.1,134,1.535629
-68.726107,36,1.564046
-71.799495,36,1.584933
-70.3,40,1.611825
-232.745175,239,2.20013
-57.45802,13,2.209561
-75.872643,53,2.239803
-51.843862,14,2.246695
-189.561601,93,2.29693
-62.723454,36,2.316355
-102.938759,78,2.356309
-117.618406,169,2.449284
-342.937164,191,2.562317
-230.398253,232,2.684017
-58.174372,27,2.697587
-59.572136,28,2.711367
-233.745174,241,3.190619
-49.932024,8,3.194525
-47.071456,15,3.204185
-77.836359,54,3.230615
-146.748317,67,3.265862
-87.317837,59,3.298922
-233.289125,230,3.434894
-46.946129,6,3.438543
-53.330234,16,3.448892
-108.599567,68,3.486674
-133.08011,148,3.566207
-126.106624,78,3.604915
-72.863304,38,3.628002
-92.836273,106,4.255642
-434.518868,247,4.400949
-55.185786,12,4.40929
-65.785796,26,4.43572
-51.188897,12,4.44277
-54.417237,12,4.448942
-63.03428,42,4.471008
-63.261196,26,4.48613
-53.225734,9,4.492639
-91.184806,76,4.532894
-51.400977,11,4.538919
-94.80437,100,4.592579
-68.187079,35,4.612166
-49.033608,6,4.615696
-70.48011,49,4.640018
-59.902891,21,4.653743
-55.744489,11,4.659776
-116.302325,116,4.726549
-62.788659,31,4.752637
-149.755019,87,5.242181
-52.754639,8,5.246067
-57.122876,25,5.259296
-50.930555,9,5.263973
-66.538096,37,5.284062
-67.137722,34,5.309812
-57.648351,35,5.330917
-60.903124,16,5.343348
-52.567846,8,5.35166
-374.718206,173,5.438784
-154.171068,196,5.543829
-56.223106,13,5.550361
-216.128297,99,5.617645
-244.032954,234,5.748318
