episode,r,l
0,-51.54536101718726,3
1,-53.07157287525381,5
2,-57.796875762567154,22
3,-50.1,1
4,-51.544632272822874,3
5,-121.28351823730048,114
6,-97.23285273870773,95
7,-51.58165147267076,3
8,-50.1,1
9,-50.800000000000004,2
10,-52.59950493836208,9
11,-49.893578071313804,6
12,-50.800000000000004,2
13,-50.1,1
14,-54.34376889126822,7
15,-53.5484502918016,6
16,-50.800000000000004,2
17,-50.1,1
18,-246.72389733786895,225
19,-53.5,3
20,-186.45463898281284,152
21,-51.53210808201585,3
22,-50.1,1
23,-55.35407403820282,7
24,-49.36851791429716,5
25,-100.92141436349246,86
26,-244.2542483014355,235
27,-50.1,1
28,-56.73610611130995,15
29,-208.0547476035939,238
30,-106.7483736043306,90
31,-51.5,3
32,-54.900000000000006,5
33,-46.858405421207706,7
34,-51.800000000000004,2
35,-50.1,1
36,-58.15434713018702,8
37,-50.800000000000004,2
38,-50.36433678341661,2
39,-50.1,1
40,-100.28257569495588,87
41,-59.1,14
42,-90.20000000000005,69
43,-62.02544590201502,23
44,-54.9,8
45,-50.1,1
46,-91.82699693460101,69
47,-51.5,3
48,-51.19901951359279,4
49,-53.900000000000006,5
50,-50.1,1
51,-49.677784622237894,4
52,-51.5,3
53,-211.4577660611219,99
54,-52.2,4
55,-92.12310562561765,48
56,-56.06953573362195,13
57,-97.82825747830849,106
58,-80.2804555427071,69
59,-57.370360616677374,13
60,-54.787555299755205,13
61,-57.46227766016838,13
62,-53.2,4
63,-50.597294320717275,17
64,-50.57863355437585,4
65,-230.69824906498775,232
66,-57.900000000000006,14
67,-61.17856891709609,17
68,-55.804369859013,19
69,-103.63649848369838,103
70,-50.800000000000004,2
71,-61.063956696671696,50
72,-52.9,5
73,-116.4447200732275,131
74,-56.028427124746194,15
75,-67.74128581028381,61
76,-62.9,26
77,-54.36441400296898,10
78,-51.0866897402503,5
79,-57.300000000000004,7
80,-53.2,7
81,-114.35302200390524,58
82,-97.24948974278317,68
83,-53.9,5
84,-94.23356151033107,78
85,-50.800000000000004,2
86,-50.1,1
87,-50.800000000000004,2
88,-54.94693243929666,8
89,-49.04594618420082,3
90,-89.91471862576142,107
91,-197.30555127546407,216
92,-50.800000000000004,2
93,-50.800000000000004,2
94,-50.861780656337416,2
95,-109.99950493836218,122
96,-54.2,7
97,-167.18509830688183,173
98,-69.5,40
99,-207.06806761874753,155
100,-50.800000000000004,2
101,-50.1,1
102,-86.08797183143028,69
103,-248.85736931463111,223
104,-233.07184486550128,114
105,-68.83047588560297,16
106,-51.5,3
107,-50.95463898281274,7
108,-121.24365440935406,91
109,-95.84128581028381,27
110,-68.38338857098188,39
111,-53.969535733621946,16
112,-54.47157287525381,7
113,-58.33091206644768,14
114,-296.77032961426846,214
115,-87.48697114786508,87
116,-51.5,3
117,-61.93606797749979,27
118,-50.1,1
119,-360.3772255750514,224
120,-49.404369859013,5
121,-48.70550951701653,2
122,-52.823105625617664,23
123,-50.800000000000004,2
124,-54.2,4
125,-90.26655687726137,43
126,-211.34065997577153,222
127,-116.70294006214638,106
128,-52.29615242270663,10
129,-50.1,1
130,-49.39705434027176,2
131,-164.20312423743297,181
132,-104.00881006356701,119
133,-50.4,3
134,-52.9,5
135,-83.49999999999999,48
136,-60.2,22
137,-50.1,1
138,-50.1,1
139,-50.1,1
140,-94.10000000000002,118
141,-58.2,22
142,-84.60952463099822,104
143,-79.19500807418015,64
144,-52.94778197279096,5
145,-73.4068490556639,61
146,64.85538513813745,80
147,-50.66934912387702,3
148,-119.39901951359289,156
149,-67.35657367649804,48
150,-208.6871557823335,215
151,-112.53398113205667,55
152,-266.14578708771063,216
153,-54.38770839704565,7
154,-76.5617806563374,55
155,-56.1,16
156,-50.1,1
157,-49.16953573362194,6
158,-190.81412609726465,207
159,-214.02786404500068,210
160,-53.2,7
161,-49.537722339831625,2
162,-69.5,37
163,-50.800000000000004,2
164,-219.12595264672927,211
165,-62.668471474150756,20
166,-150.70063194098714,151
167,-57.300000000000004,16
168,-101.84252412001521,70
169,-202.6278640450006,211
170,-77.99999999999999,57
171,-49.61989011071948,16
172,-214.1520378137525,215
173,-263.3480640977952,222
174,-54.677225575051665,7
175,-135.50000000000017,195
176,-147.79348134844693,139
177,-190.54088643612806,214
178,-223.2229225582609,203
179,-195.9559962546827,212
180,-214.3354878038685,213
181,-107.67392967364272,41
182,-76.96885910553355,75
183,-60.4,33
184,-205.69966442575156,215
185,-199.6630683706315,205
186,-116.1917960675006,68
187,-90.72967038573097,58
188,-126.94461486186259,113
189,-196.74710355080487,212
190,-50.73076266342903,17
191,-197.90000000000012,214
192,-202.93535242509478,204
193,-65.19999999999999,29
194,-95.00000000000001,94
195,-211.84614396130706,201
196,-78.44450880870585,55
197,-189.41665382639212,204
198,-50.800000000000004,2
199,-231.33014581273488,213
