episode,r,l
0,-54.98516480713451,9
1,-55.39351916473774,16
2,-207.60000000000022,229
3,-54.89711568577115,14
4,-84.7218544151267,65
5,-257.92967038573096,149
6,-60.48791696266481,24
7,-79.04846922834953,57
8,-53.179170680244304,13
9,-78.24637595292627,71
10,-235.50000000000009,235
11,-105.47400787401182,36
12,-251.21443667476368,265
13,-50.98797053171859,6
14,-62.186211480050986,23
15,-65.74519651496821,41
16,-86.57976649463681,82
17,-48.0690481051547,7
18,-67.63228794607251,47
19,-63.087291522390586,29
20,-233.9009327790185,242
21,-63.169021642552295,33
22,-72.88911123996697,58
23,-65.29824574900861,41
24,-49.21070549192864,6
25,-74.15421291228921,65
26,-74.41549228653749,52
27,-49.97542476779341,6
28,-57.54260932693041,18
29,-172.39766316709463,196
30,-203.68129202156297,246
31,-206.34845029180173,228
32,-56.65193590220472,18
33,-87.63794081848317,78
34,-90.19803442962665,76
35,-125.27302878468006,178
36,-65.6289241752404,44
37,-75.50820393249937,28
38,-67.87496438739213,35
39,-80.11989011071947,63
40,-65.3469507659596,19
41,-71.1514507155976,93
42,-58.105562525271594,18
43,-48.27916383134662,6
44,-48.101796780186184,13
45,-88.1958552481335,81
46,-191.76441400296912,242
47,-75.13676176529424,37
48,-74.82819545493545,63
49,-56.23410367309258,27
50,-56.999813164657624,15
51,-70.73943456801237,33
52,-71.89294307180023,51
53,-55.53794081848316,11
54,-64.43830378495667,35
55,-76.30482491963554,59
56,-217.55796965731759,229
57,-100.70436985901306,122
58,-61.84461486186258,26
59,-146.93606797749996,183
60,-122.04276573811882,161
61,-181.35763507279023,99
62,-241.9019900956258,213
63,-125.26393202250028,152
64,-70.62892477105665,51
65,-105.8128505041749,135
66,-68.9872120826148,33
67,-50.4,6
68,-146.97672184679664,93
69,-56.622210010069374,27
70,-104.61421356237317,134
71,-79.894448724536,75
72,-51.144614861862586,21
73,-65.68678551499056,35
74,-47.858405421207706,7
75,-78.89999999999999,79
76,-58.04987562112089,17
77,-117.6606094867978,119
78,-57.1104335791443,25
79,-205.98381086550333,227
80,-86.62955742484336,68
81,-54.2,7
82,-50.57213595499958,4
83,-56.591107936755435,24
84,-50.53228794607251,8
85,-78.51783222911213,55
86,-54.7901417051688,16
87,-106.18355618136309,117
88,-59.025302887313345,27
89,-144.0668296475266,220
90,-54.185164807134505,8
91,-93.68310672068309,92
92,-81.45910710286466,45
93,-52.684226894136096,15
94,-59.28010988928052,14
95,-29.038096210309305,180
96,-89.67186424450435,90
97,-53.34718884839535,17
98,-49.824038404635964,8
99,-66.08848734283697,23
100,-49.84660457358573,7
101,-60.959966621411596,21
102,-208.50744729648648,229
103,-60.49983384975055,38
104,-81.01373532541609,37
105,-50.10878221447285,6
106,-60.396335630114436,19
107,-69.09589527615994,45
108,-100.29901951359285,121
109,-82.3432736152956,66
110,-195.87761765152442,219
111,-55.73606797749979,18
112,-67.28873176503411,37
113,-117.95162380011061,142
114,-58.74948974278318,19
115,-106.29202168650494,130
116,-112.06705625993308,109
117,-125.51726971368299,154
118,-55.40232526704263,14
119,-64.38794849020726,49
120,-228.7830459735948,233
121,-63.637742251701454,46
122,-69.35804012225094,38
123,-63.83635871403866,35
124,-52.77012707023375,13
125,-111.74314575050761,44
126,-206.33117875263636,230
127,-104.20521783278406,108
128,-64.98480595121968,22
129,-58.839516449686435,28
130,-59.12967038573099,31
131,-59.17712141887138,24
132,-229.25480283296835,232
133,-72.69178709536602,38
134,-67.97036061667737,29
135,-50.12649953210489,10
136,-76.98276253029823,56
137,-52.20050506338834,39
138,-58.26625137612528,20
139,-104.54813020391774,115
140,-65.81411634664693,29
141,-46.96937985350266,10
142,-61.819890110719484,51
143,-49.24421543283781,18
144,-135.88791696266492,169
145,-50.30583068995322,9
146,-106.61948771668624,129
147,-61.859052126670505,36
148,-47.048087237247245,20
149,-73.96393202250019,67
150,-67.45600927343285,51
151,-72.68257569495583,32
152,-213.21966011250117,227
153,-49.528427124746194,2
154,-117.50436985901311,175
155,-199.258234768148,226
156,-66.78324640772888,48
157,-117.09081558109355,164
158,-49.291558093635096,6
159,-51.95912049211532,13
160,-67.80733251975376,54
161,-130.70297488604893,109
162,-65.70312423743285,21
163,-59.51110255092798,16
164,-57.35933889353237,12
165,-242.78304597359468,239
166,-49.336514901074885,12
167,-54.36229757203821,19
168,-70.605551275464,47
169,-73.84099243104139,73
170,-60.22185441512669,27
171,-209.66125588840748,235
172,-227.19354820077453,230
173,-74.21989011071948,80
174,-48.96581182820153,12
175,-68.83199565277361,41
176,-89.8895346661475,98
177,-66.3086622869091,31
178,-87.89656851845017,99
179,-62.398245749008616,29
180,-51.00028374225594,12
181,-50.29215373077236,10
182,-63.2857864376269,18
183,-81.96737002063,58
184,-70.16229757203821,50
185,-69.10386479562466,50
186,-56.3,18
187,-77.89598283006909,66
188,-150.76869414654675,99
189,-57.59754900485734,34
190,-54.4,12
191,-51.879451457523,11
192,-208.95267025471503,238
193,-55.56393202250021,14
194,-54.91820275173366,22
195,-51.59388521218181,14
196,-70.9887698376861,54
197,-52.773618495495704,6
198,-45.8969707627887,8
199,-55.288897449072024,15
