#{"t_start": 1764171059.048788, "env_id": "CityDrone-v0"}
r,l,t
-52.5,3,1.156112
-50.699732,4,1.158364
-54.99902,8,1.161804
-54.2,4,1.163866
-53.10551,10,1.188251
-69.3,40,1.208576
-55.37321,25,1.222208
-56.463068,8,1.225906
-51.5,3,1.229056
-55.638984,6,1.231961
-50.598451,5,1.23535
-300.61025,231,1.353685
-65.7,25,1.369303
-52.391899,12,1.374616
-50.8,2,1.3758
-58.874736,15,1.382775
-50.1,1,1.384926
-79.298144,57,1.410423
-106.137742,118,1.468978
-50.449876,6,1.472627
-59.635663,19,1.483833
-58.454347,16,1.491858
-50.1,1,1.492588
-57.453228,11,1.499399
-53.2,4,1.503202
-53.592061,3,1.505121
-49.299732,2,1.506584
-50.1,1,1.507315
-51.5,3,1.510091
-118.34131,98,1.557789
-56.680576,27,1.572135
-50.8,2,1.574529
-51.5,3,1.577821
-50.8,2,1.579153
-51.713611,5,1.581658
-53.2,4,1.583986
-58.0,11,1.592059
-190.4143,231,2.462887
-50.954347,2,2.464248
-51.54264,3,2.465826
-53.277616,4,2.471204
-62.391899,28,2.484433
-51.855385,5,2.48711
-50.1,1,2.488146
-51.036068,2,2.490815
-59.7,18,2.503875
-53.323106,7,2.508596
-68.2,23,2.519065
-50.1,1,2.521302
-54.9,5,2.523807
-50.1,1,2.52452
-50.8,2,2.525883
-50.1,1,2.52903
-109.62619,76,2.573006
-50.8,2,2.574144
-51.54845,3,2.575897
-58.8,15,2.586646
-52.5,3,2.588232
-50.4,3,2.591063
-51.310291,5,2.593482
-50.1,1,2.595503
-53.255728,4,2.597835
-59.805043,24,2.609308
-149.723014,204,2.703067
-53.718505,28,2.718169
-50.1,1,2.718908
-50.216046,3,2.720556
-243.141081,238,2.839958
-52.848912,5,2.847157
-237.558916,238,2.968682
-59.036711,11,2.974841
-49.824857,7,2.977971
-65.472274,25,3.917017
-51.5,3,3.918602
-50.1,1,3.919401
-53.5,3,3.921231
-51.978986,22,3.933015
-51.8,2,3.934351
-62.933596,15,3.942073
-52.582763,3,3.943677
-167.673618,221,4.047099
-51.5,3,4.048777
-52.2,4,4.050787
-56.072136,32,4.064592
-52.5,3,4.067844
-50.1,1,4.068585
-67.817759,32,4.084005
-52.2,4,4.086093
-60.255775,27,4.101007
-54.582781,7,4.106261
-61.635311,16,4.114104
-50.1,1,4.114893
-57.023106,14,4.122776
-52.8,8,4.130004
-51.879171,5,4.132554
-57.6,6,4.135389
-53.986334,8,4.141493
-52.450124,6,4.14463
-50.8,2,4.145933
-54.2,7,4.149953
-56.212216,9,4.155857
-271.518254,203,4.252603
-53.29902,7,4.25614
-66.604185,48,4.278259
-54.5,9,4.284363
-52.5,6,4.287406
-52.1,4,4.289327
-83.796876,82,4.326901
-49.60098,2,4.329504
-52.8,5,4.331974
-53.9,5,4.334427
-55.639841,6,4.337302
-52.2,4,4.341453
-64.243274,24,4.352896
-58.955048,17,4.360792
-51.8,2,4.362274
-53.2,4,4.365554
-49.402208,2,4.366661
-50.8,2,4.367792
-57.3,13,4.373684
-52.182781,5,4.377411
-50.8,2,4.378837
-52.2,4,4.381681
-52.858899,9,4.386997
-54.35373,13,4.394098
-50.1,1,4.395309
-50.89902,2,4.400066
-48.7,2,4.403044
-53.2,4,4.40803
-57.3,10,4.415447
-50.846932,2,4.417175
-64.7149,34,5.358863
-66.754074,34,5.378236
-57.733981,13,5.38528
-50.8,2,5.386886
-53.41223,17,5.395338
-66.819535,21,5.409629
-49.954213,3,5.411251
-74.345197,60,5.441142
-53.533981,10,5.44568
-51.5,3,5.449539
-194.884227,192,5.542146
-50.157171,4,5.544057
-51.1,4,5.546037
-50.8,2,5.549367
-51.1,4,5.551399
-111.4,122,5.605404
-258.800738,249,5.729915
-63.7,24,5.742953
-50.1,1,5.743782
-50.1,1,5.744556
-50.1,1,5.745873
-61.185837,26,5.761805
-53.136068,5,5.764588
-50.838984,2,5.765702
-51.1,1,5.766445
-53.087972,17,5.777084
-96.938023,61,5.807347
-52.5,3,5.808938
-50.1,1,5.80963
-50.919535,2,5.812325
-50.1,1,5.813186
-250.9527,246,7.426979
-69.397054,36,7.444228
-58.190537,11,7.453438
-184.600374,140,7.528912
-61.7,15,7.536201
-50.106873,4,7.538694
-52.367893,8,7.544641
-61.1,14,7.554925
-56.9,11,7.563448
-76.7,45,7.589437
-62.340027,34,7.609304
-52.8,5,7.611714
-51.5,3,7.613562
-50.8,2,7.614836
-62.062258,40,7.641357
-51.8,2,7.642719
-53.2,4,7.644629
-51.8,5,7.647546
-50.1,1,7.649724
-61.147531,18,7.659756
-63.093481,46,7.68329
-52.2,4,7.685291
-52.802258,11,7.692931
-67.9,30,7.707543
-347.382014,239,7.818363
-57.037722,19,7.827148
-75.622887,46,7.853603
-50.8,2,7.855251
-50.1,1,7.856565
