#{"t_start": 1764171430.816073, "env_id": "CityDrone-v0"}
r,l,t
-85.897751,82,1.696629
-101.406532,50,1.987162
-46.054639,18,2.030475
-50.823897,10,2.058149
-451.758405,111,2.476296
-64.088022,24,2.547212
-62.779475,57,2.68689
-733.965038,194,3.274879
-94.170896,30,3.35706
-45.997675,19,3.400226
-49.737941,7,3.42088
-58.946129,28,3.490454
-56.654213,22,3.547793
-115.962301,33,3.629458
-44.264077,5,3.643973
-49.338155,18,3.687616
-51.414214,13,3.727114
-45.328753,19,3.769164
-63.600284,25,3.829714
-46.375567,5,3.844784
-59.675445,15,3.882471
-198.423014,65,4.053274
-60.678356,22,4.11354
-135.237722,111,4.427988
-50.958405,10,4.466724
-47.366169,22,5.237142
-110.05097,18,5.32431
-42.188022,11,5.36103
-82.529198,18,5.421839
-136.036257,45,5.544463
-62.786145,18,5.584985
-51.179451,13,5.624057
-74.621884,19,5.67367
-49.254748,18,5.715892
-44.204261,11,5.749304
-48.050903,12,5.77834
-56.128132,9,5.801493
-49.976894,18,5.83752
-96.655385,106,6.110002
-45.455958,11,6.144499
-78.637722,14,6.182463
-70.296152,22,6.240091
-44.78567,14,6.287097
-46.84813,4,6.300024
-62.216897,21,6.353799
-49.30881,6,6.369643
-48.805905,7,6.391957
-48.763932,7,6.41625
-107.639391,47,6.53119
-42.837742,15,6.564703
-44.069854,13,6.599433
-76.657359,16,6.63634
-42.950612,11,6.66725
-51.814214,12,6.720061
-49.074179,14,6.771893
-48.791928,14,6.838614
-62.517444,61,6.994035
-61.371068,36,7.085236
-47.663932,7,7.101137
-107.260565,21,7.150308
-51.9,16,7.201503
-54.2,7,7.232235
-48.69855,10,7.25895
-47.968518,3,7.264657
-51.77316,12,7.301148
-47.797275,7,7.318732
-86.746211,27,7.439995
-215.045946,95,7.692354
-47.434692,5,7.707542
-48.763932,7,7.721891
-49.2,12,7.748817
-50.093519,10,7.771777
-47.996694,14,7.811044
-59.2,17,7.858426
-64.556726,13,7.887814
-93.054054,102,8.230427
-108.348858,121,8.549171
-46.71779,4,8.561473
-46.663932,4,8.567316
-47.830094,7,8.595349
-43.656626,11,8.620679
-111.163932,33,8.706346
-49.085671,6,8.721934
-65.263258,30,8.78945
-131.385627,49,8.913383
-48.080552,6,8.928685
-57.931257,18,8.970009
-49.911103,5,8.98412
-46.71779,4,8.996534
-47.893427,7,9.014468
-48.214538,18,9.057248
-50.141935,10,9.082015
-59.116257,13,9.125479
-47.623261,24,9.187986
-49.075445,3,9.194369
-83.147906,74,9.505179
-51.785786,18,9.557962
-47.005879,4,9.57131
-48.405905,8,9.596507
-203.75097,51,9.777329
-42.755996,11,9.848882
-54.487132,10,9.914303
-48.0265,7,9.963154
-68.697675,14,10.008567
-46.943146,10,10.033305
-48.382133,8,10.049883
-43.50137,16,10.091463
-76.255482,25,10.159201
-43.411368,8,10.17931
-47.59855,10,10.202767
-50.827864,9,10.226666
-78.286145,13,10.255352
-45.155728,26,10.320229
-47.70583,5,10.334802
-47.993444,9,10.350831
-41.26153,9,10.371228
-43.38721,29,10.44542
-46.673674,4,10.454664
-48.123106,4,10.466282
-42.920295,11,10.493423
-46.685671,4,10.501453
-46.436068,9,10.51797
-58.392431,30,10.590916
-46.133743,13,10.622986
-285.542766,166,11.264106
-47.232227,6,11.296044
-44.540893,6,11.323746
-48.150903,20,11.379982
-43.927636,7,11.397288
-48.010069,58,11.541262
-51.491796,71,11.715453
-48.928392,2,11.719411
-48.123106,4,11.730741
-48.214835,5,11.745681
-148.675405,83,11.962082
-110.342641,45,12.073478
-104.198246,19,12.11889
-46.848697,4,12.130168
-71.592943,14,12.168315
-46.688897,4,12.181986
-48.515079,7,12.199835
-63.61339,23,12.307162
-48.100799,6,12.321825
-47.257261,4,12.338584
-51.442733,13,12.371381
-53.411103,21,12.439644
-58.939551,11,12.468392
-65.3,22,12.527099
-52.2,18,12.582778
-45.219912,7,12.603336
-49.070412,17,12.660494
-49.024086,4,12.667963
-46.751523,4,12.683927
-44.009164,13,12.762286
-50.244004,8,12.783374
-46.880383,16,12.849233
-47.523106,17,12.898813
-57.474492,18,12.943748
-182.794449,51,13.074404
-71.348469,14,13.119505
-48.766915,7,13.134411
-88.482961,17,13.174421
-46.910405,4,13.185257
-45.543687,9,13.209653
-47.680456,4,13.219999
-43.80002,10,13.245481
-44.481008,7,13.259754
-49.953515,3,13.267096
-52.131333,15,13.301938
-45.96562,10,13.324607
-60.1,36,13.412142
-46.69855,4,13.425068
-37.31966,27,13.491264
-45.838491,10,13.518015
-43.188897,8,13.540098
-77.6,14,13.574218
-47.148697,6,13.590303
-43.281138,13,13.617154
-53.175445,23,13.671862
-70.493519,85,14.342692
-71.696876,17,14.379902
-94.198246,27,14.500716
-80.6,24,14.579184
-345.450695,116,14.917235
-59.511407,13,14.954966
