#{"t_start": 1764136535.040021, "env_id": "CityDrone-v0"}
r,l,t
-54.846211,9,9.066504
-50.8,2,9.068685
-56.0,11,9.073307
-79.619544,25,9.084264
-50.653082,4,9.086195
-102.212382,45,9.106528
-56.2,16,9.113425
-56.3,10,9.117778
-52.9,5,9.120045
-50.1,1,9.121751
-53.681146,19,9.12978
-61.8,18,9.138146
-57.475417,10,9.142464
-50.1,1,9.144136
-54.657929,6,9.14707
-51.5,3,9.148707
-50.8,2,9.149766
-80.9,14,9.156739
-68.55947,26,9.167591
-48.892022,2,9.168941
-56.670361,9,9.172894
-53.2,4,9.176066
-58.363932,15,9.183725
-50.8,2,9.184878
-55.6,9,9.188859
-50.1,1,9.191026
-53.614214,4,9.193187
-54.2,4,9.195212
-57.0,8,9.199061
-50.1,1,9.202489
-49.404515,3,9.204222
-56.7,9,9.20828
-51.5,3,9.209825
-57.779611,9,9.215372
-52.578569,3,9.216909
-51.1,4,9.218816
-51.8,2,9.219891
-53.9,8,9.224447
-114.506873,37,9.240186
-82.03325,41,9.257479
-90.6,65,9.284534
-51.1,1,9.286425
-51.5,3,9.288173
-50.1,1,9.288943
-73.383346,38,9.30584
-51.8,2,9.309539
-216.743618,232,9.41059
-51.557929,3,9.412086
-51.188726,5,9.414338
-52.31529,7,10.0373
-50.1,1,10.038044
-53.665021,5,10.040752
-55.7,9,10.044574
-50.8,2,10.046895
-50.1,1,10.047581
-56.7,9,10.051813
-50.328392,4,10.05373
-51.892061,5,10.057126
-50.847782,2,10.058348
-56.525441,14,10.064901
-50.618436,4,10.066927
-97.592547,102,10.114277
-50.8,2,10.115453
-59.4,10,10.120278
-51.568359,3,10.121813
-52.946324,5,10.125385
-72.044632,30,10.138233
-126.466976,53,10.160785
-54.2,7,10.164034
-54.278206,8,10.169018
-50.379546,4,10.171017
-54.2,4,10.172984
-60.044108,11,10.177858
-50.1,1,10.179807
-49.731179,3,10.181299
-55.246324,10,10.185693
-57.0,8,10.189593
-52.5,6,10.19344
-50.8,2,10.194627
-57.521063,8,10.198421
-51.005563,9,10.202916
-54.6,6,10.206798
-62.2,14,10.212835
-92.28284,36,10.228496
-52.533462,4,10.23054
-51.418888,5,10.234154
-49.411695,3,10.235676
-54.3,7,10.238831
-50.215492,4,10.240806
-51.535311,3,10.243468
-50.8,2,10.244526
-69.789839,34,10.260132
-53.2,4,10.262554
-50.494449,4,10.265798
-54.45373,10,10.270055
-51.5,3,10.271576
-59.934061,14,10.277768
-61.552852,19,10.286982
-88.385111,31,10.300361
-50.360818,4,10.302278
-51.539841,3,10.303824
-50.8,2,10.305933
-53.2,4,10.307977
-50.471573,9,10.311999
-55.245361,10,10.316359
-51.5,3,10.319313
-52.9,5,10.321928
-50.842796,2,10.323169
-51.8,2,10.324245
-54.2,7,10.328372
-50.1,1,10.329118
-50.8,2,10.330696
-56.2,13,10.336295
-50.1,1,10.337985
-53.383346,4,10.339972
-53.9,5,10.342292
-50.8,2,10.343415
-143.510988,129,10.398606
-52.8,8,10.40208
-52.9,5,10.40432
-51.148602,5,10.406676
-67.182781,24,10.418263
-206.707125,235,11.16214
-59.506873,16,11.169914
-50.654639,5,11.172365
-59.385165,17,11.18165
-49.674298,3,11.183741
-50.8,2,11.184951
-53.9,5,11.187604
-50.1,1,11.189428
-49.592022,3,11.191131
-52.365737,7,11.194588
-53.9,8,11.198165
-54.9,5,11.202265
-50.1,1,11.20316
-54.616437,10,11.208405
-57.363758,13,11.214355
-50.1,1,11.216493
-50.844632,2,11.21762
-50.839223,2,11.218784
-54.136068,5,11.221212
-53.5,3,11.224119
-50.1,1,11.224855
-54.2,4,11.226877
-52.674083,6,11.229765
-52.2,4,11.23312
-50.8,2,11.234301
-53.255048,4,11.236465
-50.1,1,11.237257
-55.5,12,11.244242
-50.804515,5,11.247481
-59.341438,14,11.253846
-64.66563,24,11.265288
-50.1,1,11.267004
-52.2,4,11.269129
-52.2,4,11.271669
-54.9,8,11.275342
-53.235136,4,11.278726
-52.54264,6,11.282079
-55.710434,6,11.284882
-51.560413,3,11.286937
-55.351142,13,11.294258
-49.607924,3,11.296212
-51.5,3,11.297868
-51.5,3,11.299442
-247.480104,236,11.416149
-50.1,1,11.417085
-50.071435,3,11.418638
-53.2,4,11.421017
-76.319981,14,11.430547
-51.1,4,11.433314
-53.587079,9,11.437951
-109.282576,74,11.475378
-49.651936,6,11.479747
-58.7,9,11.484405
-57.0,11,11.490585
-52.8,8,11.494167
-199.295895,135,11.566341
-50.878569,2,11.567593
-51.548912,3,11.569881
-50.8,2,11.571156
-51.5,3,11.574815
-50.538351,3,11.577079
-52.5,3,11.578741
-59.048912,11,11.584018
-202.583046,166,11.676078
-56.370361,10,11.680997
-50.1,1,11.682357
-58.378976,11,12.856964
-55.622876,12,12.864449
-53.655233,9,12.869031
-56.0,8,12.872779
-57.752559,9,12.87766
-52.5,3,12.880357
-50.8,2,12.881538
-53.588726,7,12.885492
-50.1,1,12.886193
-51.570361,3,12.889022
-53.9,5,12.892515
-54.6,6,12.895356
-50.1,1,12.896065
-53.8,11,12.903256
-52.2,4,12.905377
81.549876,60,12.933786
-84.433862,25,12.945393
-56.281146,9,12.950985
-51.84264,5,12.953529
-63.6,24,12.964869
-52.2,4,12.966847
-56.6,9,12.972715
-51.8,2,12.973885
-50.8,2,12.975056
-50.1,1,12.975762
-64.558722,22,12.986166
-53.9,8,12.99015
-50.1,1,12.990848
-55.2,13,12.996404
-51.8,2,12.998616
-68.0,24,13.00904
-64.652008,25,13.020235
-52.9,5,13.02264
-279.088569,257,13.137021
-100.374518,26,13.14753
-55.335136,7,13.150512
-55.963758,11,13.155073
-98.998246,15,13.163807
-68.758613,25,13.174704
-51.216046,3,13.176263
-50.8,2,13.177385
-86.742006,13,13.184627
-221.198637,239,13.287887
-53.2,4,13.2899
-58.930961,12,13.294818
-107.858235,99,14.319553
-50.1,1,14.320348
-255.201754,234,14.431537
-50.1,1,14.432321
-52.946324,5,14.436437
-237.613933,245,14.546948
-49.454144,3,14.548542
-51.581651,3,14.549994
-80.274599,15,14.557941
-50.1,1,14.558717
-54.814437,6,14.561982
-62.228927,10,14.566554
-50.1,1,14.568465
-54.9,5,14.570895
-53.5,6,14.574128
-53.9,5,14.576803
-79.89536,38,14.595166
-92.777226,37,14.611098
-240.369805,238,14.713835
-65.878206,19,14.722044
-250.017843,239,15.580736
-53.422876,7,15.584176
-47.178639,14,15.590688
-57.3,10,15.595056
-55.3,7,15.600011
-52.2,4,15.60194
-50.1,1,15.602628
-53.916625,6,15.60537
-50.1,1,15.607472
-50.1,1,15.608305
-54.2,7,15.61156
-60.901017,21,15.62103
-50.642641,3,15.623557
-54.099495,10,15.627988
-51.863758,5,15.630382
-74.312302,24,15.641845
-55.456493,19,15.650975
-50.8,2,15.652139
-51.432056,4,15.65465
-60.357354,9,15.658944
-50.8,2,15.661036
-201.381747,232,15.767584
-54.2,7,15.770654
-68.563932,35,15.785151
-54.6,6,15.789622
-60.0,11,15.794179
-52.84332,16,15.801968
-66.2,20,15.810347
-51.1,1,15.81228
-50.1,1,15.812955
-54.371068,7,15.816028
-330.733981,231,15.923678
-50.1,1,15.926166
-57.4,10,15.930544
-52.881738,6,15.933272
-66.815472,7,15.936626
-72.563758,28,15.950052
-58.0,11,15.954739
-52.5,6,15.957567
-53.2,4,15.959531
-79.409878,10,15.965212
-56.763932,22,15.97488
-53.558322,6,15.977569
-51.5,3,15.979104
-50.1,1,15.980926
-50.861781,2,15.982039
-53.524555,10,16.739635
-51.130004,5,16.742007
-52.2,4,16.745323
-52.5,3,16.74703
-57.536068,16,16.753826
-68.840866,51,16.775227
-57.617759,14,16.78228
-223.47067,237,16.883079
-52.709042,6,16.885982
-50.8,2,16.887078
