#{"t_start": 1764171495.457597, "env_id": "CityDrone-v0"}
r,l,t
-105.859816,91,1.38839
-73.370036,96,1.565054
-274.665871,218,1.900008
-58.447906,13,1.920966
-70.85231,27,1.965717
-48.021192,7,1.980161
-108.534979,166,2.244308
-102.406556,56,2.329944
-47.55991,5,2.336197
-84.112459,74,2.458522
-58.098246,29,2.506241
-52.465812,2,2.509066
-55.85097,13,2.527607
-51.8,14,2.55396
-69.328932,11,2.570657
-199.700738,205,3.170418
-45.965871,4,3.180474
-48.623106,20,3.218097
-40.755728,21,3.260005
-61.598039,24,3.307138
-53.451936,9,3.330352
-56.065021,16,3.373078
-56.554463,16,3.408329
-59.59855,35,3.587189
-49.237742,9,3.616791
-81.664414,27,3.671448
-51.855958,39,3.733046
-50.946295,43,3.820638
-57.147906,35,3.936399
-52.64018,2,3.940517
-54.024555,8,3.983471
-73.846027,92,4.163855
-54.313738,37,4.219617
-215.747735,205,4.54212
-110.994449,141,4.760191
-43.042135,23,4.802917
-54.036498,10,4.817527
-51.455016,7,4.827348
-53.217734,28,4.878137
-89.173898,31,4.930707
-63.075445,11,4.957326
-56.421985,28,5.015825
-49.144004,5,5.02779
-53.203983,11,5.047564
-59.161636,50,5.176948
-53.051523,9,5.192558
-73.341428,16,5.214889
-56.136106,33,5.274726
-50.030761,8,5.289541
-48.075445,17,5.333231
-108.848145,161,5.618274
-86.39855,82,5.74088
-76.973618,54,5.828409
-52.858166,19,5.859096
-63.996439,23,5.893947
-44.335322,7,5.906847
-50.324459,7,5.914708
-44.980737,31,5.966342
-49.756913,11,5.983108
-55.815179,29,6.029882
-56.271573,9,6.040698
-141.583046,139,6.249361
-80.298039,53,6.338038
-46.84018,4,6.343859
-74.408585,78,6.464283
-48.30437,22,6.498944
-139.055728,155,6.733826
-60.419544,28,6.811317
-64.846211,53,6.923272
-58.623106,44,7.016316
-45.18733,11,7.035216
-45.855958,10,7.053356
-87.195302,60,7.145859
-67.438967,41,7.214
-56.101902,10,7.230474
-63.808662,7,7.24803
-74.690022,125,7.454415
-54.937089,18,7.481605
-78.270036,112,7.660088
-47.41025,5,7.669186
-92.041428,112,7.858812
-48.3,9,7.871704
-71.497064,20,7.908191
-50.332944,34,7.961347
-58.253082,25,8.004048
-55.336307,48,8.077285
-50.799119,12,8.094717
-52.621854,5,8.100078
-43.592771,17,8.127763
-45.598281,19,8.155823
-44.655702,7,8.166898
-44.377629,53,8.246537
-69.540035,12,8.264837
-45.40098,11,8.2814
-72.737722,32,8.334053
-61.636068,6,8.341037
-50.334483,7,8.35371
-46.643294,15,8.375845
-55.776894,7,8.39133
-94.641657,142,8.778064
-46.31079,24,8.832551
-90.342766,82,9.000324
-59.50002,11,9.019075
-39.60437,23,9.057296
-59.02967,13,9.079432
-199.89902,64,9.199015
-65.234437,22,9.234475
-47.094449,13,9.253676
-45.126697,13,9.275702
-52.543651,84,9.41133
-48.656321,4,9.419677
-52.852028,28,9.459174
-53.640104,43,9.528834
-55.953515,6,9.537393
-66.626796,17,9.56449
-79.00881,107,9.723692
-53.52436,13,9.743435
-83.314835,11,9.769357
-66.886211,53,9.88126
-45.936762,4,9.890692
-44.69155,7,9.902866
-74.78011,57,10.015727
