#{"t_start": 1764171349.82771, "env_id": "CityDrone-v0"}
r,l,t
-177.20978,129,1.243318
-221.71706,230,1.493035
-115.100571,136,1.640081
-97.036068,107,1.766631
-54.262298,16,1.787107
-62.094449,35,1.837507
-60.966803,34,1.873793
-221.28663,238,2.136423
-219.163932,231,2.519552
-71.365707,41,2.56286
-119.485281,127,2.711089
-57.415397,28,2.755935
-71.653789,70,2.857193
-60.125884,42,2.902911
-62.588897,49,2.956039
-236.153789,251,3.23508
-250.924972,242,4.164601
-60.127709,26,4.192986
-59.560977,21,5.652018
-54.081146,18,5.671722
-60.277354,36,5.71054
-332.428925,229,5.975532
-78.57379,52,6.031529
-59.225303,37,6.07036
-72.062278,42,6.115848
-60.24883,33,6.153892
-53.416625,10,6.166568
-84.742641,84,6.257822
-128.240307,105,6.37834
-79.293444,80,6.464062
-98.849874,73,6.542003
-122.808204,154,7.713484
-109.532944,108,7.83758
-112.803124,123,7.969649
-209.937742,238,8.230999
-120.62027,167,8.425458
-209.944004,230,8.69816
-220.190689,223,9.294128
-178.640785,182,10.608173
-75.085079,73,10.689689
-196.603797,229,10.954254
-47.796876,9,10.964184
-54.638759,16,10.982241
-67.436068,46,11.035326
-51.394449,16,11.052552
-92.783411,99,11.158583
-312.277078,111,11.277997
-123.633453,176,12.392912
-80.242409,66,12.463858
-63.794446,23,12.488474
-312.331996,196,12.716787
-104.742641,104,12.880618
-156.312962,37,12.924386
-108.369503,138,13.073787
-64.408421,32,13.108359
-243.303965,230,13.361025
-109.32221,121,13.492483
