#{"t_start": 1764171100.757012, "env_id": "CityDrone-v0"}
r,l,t
-52.203124,8,1.002925
-48.868344,2,1.004385
-140.582763,221,1.145371
-57.655348,16,1.173931
-66.261636,39,1.238526
-54.655348,10,1.245704
-80.209524,83,1.304174
-55.368653,10,1.315817
-51.132056,5,1.32024
-71.230692,49,1.34719
-50.175579,4,1.35007
-48.792431,2,1.352272
-76.81779,67,1.392545
-61.506873,35,1.412913
-55.313855,9,1.41831
-52.785786,7,1.42287
-58.473618,13,1.431216
-72.116694,28,1.450568
-55.205551,17,1.461059
-55.869349,12,1.469095
-91.58221,73,1.534855
-77.895414,57,1.569424
-53.957864,30,1.590613
-79.456062,46,1.623951
-87.935699,61,1.671816
-69.206624,41,1.697535
-85.092022,64,2.272785
-66.771227,29,2.293558
-90.404854,114,2.36906
-51.878586,7,2.373627
-49.55475,3,2.376719
-48.181792,4,2.379094
-105.517102,130,2.483039
-74.568219,58,2.517932
-109.79902,123,2.584384
-65.827864,31,2.600832
-49.0888,2,2.60445
-49.644615,2,2.605742
-80.29855,58,2.639414
-99.581385,84,2.683196
-56.163932,15,2.69577
-63.287212,29,2.721028
-50.0265,10,2.73415
-55.778634,10,2.741846
-59.310197,16,2.757542
-74.392154,58,2.820017
-61.734336,30,2.838029
-75.310291,56,2.869099
-48.895199,2,2.872237
-51.536711,3,2.87398
-73.632795,67,2.910505
-96.550124,83,3.340131
-94.13428,57,3.400946
-49.724968,3,3.403289
-55.041428,8,3.410588
-101.478249,117,3.477081
-78.374697,53,3.512082
-63.6,24,3.525643
-159.515194,171,3.627647
-226.834249,240,3.794893
-74.432227,37,3.818371
-136.66232,171,3.911604
-49.424086,3,3.91375
-65.578022,28,3.932726
-66.589084,48,3.96991
-65.183705,27,4.730761
-53.446274,8,4.735903
-51.187079,7,4.739672
-117.258899,110,4.805317
-51.402486,7,4.809607
-134.118505,77,4.856457
-118.072136,133,4.941828
-122.474964,124,5.037208
-61.234242,21,5.048794
-114.930146,104,5.106392
-48.414214,7,5.110873
-116.935,114,5.179223
-52.516625,4,5.181558
-93.694449,91,5.254553
-69.714627,65,5.309114
-50.413521,4,5.313331
-75.76232,62,5.349694
-124.635222,112,5.63357
-58.992022,20,5.643933
-71.4,46,5.670967
-51.448602,4,5.673249
-94.646526,65,5.70954
-61.427828,20,5.72027
-81.009184,52,5.754441
-64.069977,19,5.76452
-67.764414,53,5.796974
-92.9,65,5.836097
-73.295983,36,5.865023
-59.195199,14,5.879426
-59.482763,13,5.89301
-70.213855,34,5.914531
-66.476136,34,5.936135
-53.4,9,5.94072
-80.961452,50,5.966331
-237.488033,223,6.099414
-56.35267,10,6.10679
-51.396876,5,6.110637
-49.617237,2,6.111917
-67.416738,23,6.128165
