#{"t_start": 1764171473.819369, "env_id": "CityDrone-v0"}
r,l,t
-119.651142,166,1.748644
-63.063932,22,1.798096
-49.811527,10,1.821698
-53.459693,22,1.868709
-53.22226,28,1.932322
-54.510342,17,1.972697
-53.715773,10,1.996332
-58.59902,27,2.062011
-76.016654,55,2.197974
-48.564239,20,2.246064
-55.894128,18,2.285861
-54.32735,28,2.356549
-73.314437,41,2.457467
-56.948064,10,2.485262
-44.462135,9,2.508748
-43.469508,11,2.535185
-57.074915,29,2.648463
-45.323378,5,2.6632
-46.00978,8,2.695931
-54.5,12,2.758076
-48.459693,7,2.812795
-46.585165,12,2.849304
-47.143699,9,2.872766
-54.95912,30,2.943177
-45.820663,10,2.967899
-51.42223,11,2.99561
-47.414835,10,3.018686
-47.814019,11,3.046639
-45.551142,8,3.069331
-53.1,10,3.09992
-48.125158,17,3.138377
-55.882763,11,3.166074
-49.840421,13,3.202851
-65.223106,23,3.249649
-47.091796,16,3.28907
-49.942713,4,3.295336
-46.219981,5,3.309449
-46.240922,10,3.330276
-45.88733,15,3.365069
-45.033209,12,3.395138
-47.716954,10,3.418077
-41.964719,13,3.447657
-73.502325,27,3.518095
-50.41779,11,3.542217
-48.973784,4,3.554977
-52.1,7,3.571304
-41.681938,21,3.619815
100.114214,5,3.636147
-78.623106,70,3.820587
-43.133931,9,3.847094
-250.078063,212,5.540764
-44.655016,6,5.56566
-48.406532,7,5.583947
-48.263664,10,5.621856
-47.805551,15,5.654614
-48.930517,6,5.666324
-46.901961,9,5.686183
-213.134597,213,6.209463
-57.11025,10,6.234634
-39.970036,13,6.266787
-49.014993,10,6.295842
-50.136551,9,6.320476
-48.639205,8,6.34307
-44.520663,5,6.361934
-47.624555,12,6.391041
-48.337048,12,6.423863
-50.451523,11,6.449323
-44.899119,6,6.474733
-48.550376,7,6.505146
-49.478869,13,6.552567
-54.0,13,6.595735
-45.808204,9,6.615159
-50.466019,27,6.698172
-49.61779,16,6.72902
-50.936068,8,6.747548
-46.253305,12,6.77071
-49.944004,6,6.785576
-51.561279,39,6.889453
-51.4,6,6.904809
-49.385165,13,6.944674
-46.362258,3,6.950674
-41.958713,8,6.972562
-274.259693,204,7.439444
-46.061226,6,7.45269
-383.336106,201,8.624542
-51.663932,10,8.645434
-47.240992,12,8.676714
-48.228675,12,8.700647
-56.203124,37,8.789565
-47.357864,14,8.824626
-47.983527,10,8.847137
-57.224086,33,8.922867
-56.201754,25,8.976229
-53.408945,28,9.034982
-56.036068,20,9.087794
-47.601961,10,9.110073
-59.14949,23,9.16756
-47.759693,6,9.182857
-46.334483,10,9.21035
-46.060503,11,9.238356
-49.530517,10,9.264268
-55.130952,10,9.29105
-48.301961,17,9.339478
-81.52967,181,9.820206
-47.090574,9,9.84171
-48.269048,15,9.879641
-44.406722,10,9.90509
-46.162843,11,9.932226
-48.442713,5,9.944197
-43.212433,12,9.970096
-43.31989,13,10.000939
-44.627864,9,10.023792
-49.3,6,10.041838
-52.311103,10,10.073467
-45.645443,7,10.091555
28.466069,181,10.53611
-50.437722,8,10.552135
-94.054396,24,10.610813
-49.28011,10,10.634408
-43.066169,11,10.663196
-52.342996,26,10.718297
-48.119544,7,10.736817
-45.38668,5,10.747788
-48.363932,8,10.764624
-51.682576,24,11.51005
-48.442078,14,11.546952
-65.537227,21,11.635976
-46.96109,12,11.704529
-43.006874,9,11.72457
-42.80866,9,11.748477
-52.986833,9,11.766865
-48.133751,7,11.77921
-47.295576,10,11.802511
-48.905551,12,11.833053
-248.18034,88,12.042963
-46.672339,13,12.07375
-53.834979,14,12.108567
-47.198529,47,12.216837
-48.824725,8,12.236828
-57.308204,9,12.257069
-46.975438,17,12.295538
-47.02735,3,12.305686
-49.08877,16,12.339413
-57.639182,14,12.368835
-51.725085,17,12.406669
-43.352028,9,12.429649
-58.396876,37,12.517365
-45.691928,8,12.53578
-52.521854,8,12.552309
-36.046376,18,12.597888
-63.385165,35,12.672931
-48.9,13,12.706032
-51.212003,26,12.769168
-48.70283,4,12.780068
-205.300374,148,13.161715
-41.961279,8,13.184544
-47.008662,6,13.199276
-48.09902,4,13.208445
-186.88733,205,13.695084
-44.16392,13,13.728069
-44.760503,6,13.747325
-44.448428,9,13.767483
-40.544615,10,13.792169
-59.29902,13,13.830426
-56.987038,16,13.867526
-41.331829,8,13.887815
-558.350765,217,14.701673
-44.607333,6,14.714337
-47.469314,13,14.744058
-49.518894,26,14.80075
-43.705551,6,14.814811
-46.291622,7,14.833465
-46.79593,9,14.854114
-45.331451,15,14.889041
-47.028427,9,14.907394
-59.512028,31,14.982138
-49.305551,8,14.99877
-47.041161,9,15.020478
-45.954226,14,15.052847
-45.450685,6,15.065436
-43.636068,17,15.240924
-57.605551,19,15.340931
-45.459153,10,15.361099
-45.894449,5,15.371117
-47.293246,9,15.389103
-45.2821,8,15.408912
-48.128932,29,15.463101
-47.465038,27,15.52097
-50.286946,33,15.59587
-50.885165,17,15.634872
-44.514835,15,15.66821
-48.375045,11,15.698267
-50.185786,22,15.761174
-48.751142,5,15.774644
-53.636068,35,15.849034
-46.914902,8,15.871997
-50.353789,25,15.925554
-53.311103,13,15.953141
-46.144615,6,15.965052
-49.703124,15,15.994267
-48.492587,25,16.039955
-53.387212,13,16.061989
-40.806056,14,16.088892
-43.639656,10,16.108519
-165.346211,42,16.190648
-65.899495,14,16.214507
-45.756869,7,16.228681
-52.95245,15,16.255333
-56.963932,30,16.309269
-45.613296,6,16.319645
-53.135276,7,16.331083
-45.727426,5,16.339932
-45.79416,9,16.357116
-43.923106,10,16.37683
-57.292154,53,16.476726
-43.557864,7,16.489863
-51.678146,6,16.500739
-52.242078,29,16.556115
-53.036068,5,16.566203
