episode,r,l
0,-56.6,9
1,-52.5,3
2,-223.7337048996859,229
3,-50.89901951359278,5
4,-50.1,1
5,-53.6,6
6,-50.83829202021673,2
7,-52.5,3
8,-50.1,1
9,-56.34089309818219,7
10,-70.5715728752538,6
11,-63.33548367323901,27
12,-102.17159710236987,41
13,-228.27126496452354,232
14,-51.5,3
15,-127.59697076278883,173
16,-93.69576965130892,18
17,-53.2426402137511,7
18,-48.60098048640722,2
19,-51.34118406015428,8
20,-75.94130967938756,26
21,-54.66041261168276,6
22,-74.62795170172731,26
23,-81.81316864278205,53
24,-50.1,1
25,-71.85414857020965,37
26,-54.94376889126822,8
27,-60.02078035857503,41
28,-50.800000000000004,2
29,-53.52310562561766,12
30,-57.300000000000004,7
31,-51.5,3
32,-227.74706283557845,233
33,-53.24987562112089,4
34,-59.03359567843283,14
35,-65.4,28
36,-453.78430411368794,219
37,-51.76225774829855,11
38,-50.800000000000004,2
39,-58.84891173877403,20
40,-58.300000000000004,10
41,-275.77446419325616,231
42,-52.54987562112089,3
43,-55.07577436739157,32
44,-68.39999999999999,34
45,-52.66953573362194,8
46,-52.43606797749979,4
47,-50.33797517870904,5
48,-169.61953506150172,79
49,-54.77696087463514,16
50,-58.72942192652086,22
51,-50.1,1
52,-154.5448695456761,62
53,-50.800000000000004,2
54,-90.73933211973133,29
55,-205.3853624717699,236
56,-50.800000000000004,2
57,-218.28038293882105,239
58,-50.1,1
59,-83.93251651284278,30
60,-53.4,12
61,-60.06957966600854,18
62,-54.6,9
63,-188.78364861216255,81
64,-54.5,6
65,-59.7,9
66,-50.849875621120894,2
67,-52.2,4
68,-485.83606797749945,231
69,-57.400000000000006,10
70,-50.43917203455072,6
71,-59.0,20
72,-207.62895164788227,219
73,-198.81214650506138,231
74,-50.1,1
75,-144.11043357914437,102
76,-96.90000000000003,73
77,-50.1,1
78,-48.86227766016838,2
79,-50.1,1
80,-64.43251651284278,17
81,-52.5,3
82,-50.1,1
83,-50.1,1
84,93.4,22
85,-50.86225774829855,2
86,-51.5,3
87,-118.01702066983611,73
88,-52.387555299755206,8
89,-65.3617806563374,31
90,-69.27213595499958,27
91,-52.2,4
92,-51.800000000000004,5
93,-52.806872610161136,11
94,-75.56857536327762,61
95,-50.588551233942354,7
96,-53.24376889126822,7
97,-260.0725245153691,241
98,-50.800000000000004,2
99,-75.16041261168274,48
100,-189.1573693146313,222
101,-62.76537264200469,24
102,-54.6,9
103,-66.6426402137511,30
104,-200.38159543406488,227
105,-113.46985418726535,39
106,-51.7,8
107,-51.800000000000004,2
108,-77.35378874876467,36
109,-52.2,4
110,-103.74695076595967,70
111,-118.29357807131382,111
112,-53.2,7
113,-54.6,9
114,-122.11238212717771,69
115,-53.2,7
116,-50.800000000000004,2
117,-52.5,3
118,-52.5,3
119,-103.64846922834954,36
120,-50.1,1
121,-74.27689437438234,57
122,-53.95413464058346,6
123,-51.353311452041,6
124,-50.1,1
125,-50.1,1
126,-87.3138547064583,54
127,-299.3144366747631,227
128,-63.91832341561489,21
129,-55.7,9
130,-99.9128676106888,45
131,-54.61775886743251,8
132,-49.993578071313806,6
133,-50.1,1
134,-86.20136305819827,42
135,-50.85407403820282,2
136,-71.01817744883954,22
137,-60.4,13
138,-52.9,5
139,-59.746269987940465,17
140,-52.5,6
141,-50.800000000000004,2
142,-82.19999999999999,74
143,-50.85407403820282,2
144,-51.1,1
145,-60.57099183241225,62
146,-50.1,1
147,-184.08407411547003,118
148,-50.1,1
149,-49.57159710236987,5
150,-59.64632421212296,21
151,-52.2,4
152,-52.24962931724119,4
153,-51.800000000000004,2
154,-53.2,7
155,-54.93346210812368,6
156,-49.65012437887911,5
157,-51.5,3
158,-208.2249721603221,220
159,-59.17242669153845,20
160,-198.02454346802446,221
161,-79.59382466684217,69
162,-80.35504844100686,68
163,-49.47923794838234,5
164,-50.800000000000004,2
165,-66.71706026950683,27
166,-50.800000000000004,2
167,-74.8977924940822,46
168,-52.70966962893635,6
169,-60.77106781186548,24
170,-210.30107258745423,232
171,-53.62310562561766,6
172,-184.4302952463329,214
173,-64.31665382639197,19
174,-59.93095189484531,17
175,-72.9,50
176,-214.31989011071977,232
177,-54.80555127546399,10
178,-52.86661087846065,8
179,-74.98257569495584,72
180,-50.1,1
181,-55.39803902718557,13
182,-66.48244564984633,19
183,-50.1,1
184,-50.1,1
185,-105.59697076278873,113
186,-196.0438620612773,227
187,-171.07150119586478,150
188,-182.6003753880525,219
189,-51.07361849549571,5
190,-214.06212568176983,224
191,-226.9758369027905,231
192,-56.55250114786762,10
193,-52.2,4
194,-84.18879395331956,88
195,-85.42280106934537,68
196,-72.93578127888702,64
197,-53.9,8
198,-113.65523292195007,144
199,-49.07446419325603,6
