#{"t_start": 1764241408.700037, "env_id": "CityDrone-v0"}
r,l,t
-33.08034,48,27.595641
-53.004848,5,27.602975
-27.399417,8,27.611683
-30.832618,75,27.694702
-108.501648,93,27.793951
-52.15,3,27.797397
-54.7,4,27.802639
-141.75,175,27.985182
-16.555711,16,28.002223
-213.15,343,28.414041
-115.824842,144,28.580341
-92.01014,115,28.705559
-137.340786,86,28.797782
-17.309856,44,28.84401
-57.299949,27,28.872511
-26.680146,58,28.936123
-99.947722,57,28.995929
-52.15,3,28.999671
-44.193185,34,29.036511
-42.343849,28,29.066277
-105.496309,60,29.131169
-66.496694,24,29.156213
-73.134854,133,29.29954
-129.070607,142,29.476269
-39.078932,3,29.480069
-49.769656,182,29.71845
-54.25,5,29.724063
503.45,11,29.737324
-51.6,2,29.739904
-44.051879,6,29.747152
-136.905339,81,31.255535
-137.550729,128,31.410446
-52.464613,67,31.484727
-50.05,1,31.48618
526.69982,139,31.639036
-83.660015,92,31.740246
-237.563095,304,32.111214
-230.819673,88,32.226946
-52.094661,69,32.308079
-51.076805,7,32.31691
-114.990375,113,32.439316
-245.25,405,32.869562
-56.381983,17,32.887998
522.55,9,32.897757
-174.772777,123,33.028402
-29.046059,13,33.042348
-55.697722,12,33.055016
-52.92029,105,33.195029
-195.593471,145,33.369744
-69.041586,236,34.822405
-25.03718,44,34.869422
-54.013557,17,34.889268
-88.377816,51,34.944368
504.9,2,34.946877
512.85,3,34.950684
-175.67136,129,35.087311
-48.014379,8,35.096155
-33.499391,29,35.126815
-98.797722,124,35.256726
-21.57558,11,35.268794
-43.673083,283,35.60285
-52.1,2,35.606209
-51.6,2,35.608989
-42.111388,16,35.635526
-65.65,33,35.685597
-28.6387,52,35.776128
-24.505711,45,35.826127
-31.524827,8,35.835359
-75.034379,171,36.020235
-47.120019,28,36.050526
-54.2,4,36.055421
-242.9,318,36.399028
-49.15,3,36.402647
-105.256855,143,36.567153
-625.868944,422,37.094467
-54.812165,95,38.359825
-90.891553,175,38.553584
505.9,2,38.556212
-7.668237,69,38.631309
-26.009228,11,38.643758
-50.05,1,38.645197
-33.030327,29,38.67644
-28.215729,10,38.687329
-23.094661,9,38.697047
-40.157417,14,38.712379
5.109564,13,38.726091
-42.623195,7,38.733707
-39.968632,6,38.741
-0.76388,20,38.762026
-110.494224,15,38.77825
-38.607417,13,38.792589
-61.915144,17,38.811047
-44.838612,23,38.834882
-26.180847,7,38.842487
-176.15,423,39.355017
-57.934947,72,39.433074
-45.053047,15,39.448842
-40.560108,32,39.484559
-39.087406,42,39.528452
-3.490436,35,39.564977
-33.509589,42,39.620906
-32.2,24,39.649229
-31.078349,43,39.699819
-43.776508,256,40.014718
-56.486443,13,40.028738
-67.761289,29,40.059528
-58.531143,71,40.134486
-90.096694,106,40.275537
-110.801699,48,40.334518
-46.084672,8,40.343651
-9.761828,17,40.364319
-5.769368,72,40.45473
-41.09619,4,40.459716
-29.559951,57,40.524077
1.259564,30,40.556865
-65.489892,69,40.63262
-34.645602,27,41.914064
512.58034,12,41.927018
515.3,174,42.132909
-12.88437,17,42.150871
-51.25,5,42.1571
-63.356049,118,42.284249
6.659564,12,42.29691
-33.501116,18,42.316096
-14.56039,24,42.342255
-128.277773,30,42.374728
-347.14405,142,42.529971
-56.811289,10,42.540634
-19.697375,6,42.577487
-50.05,1,42.578903
-281.5,410,43.054608
-414.277003,413,43.50023
507.671068,8,43.509621
-3.943398,17,43.527992
-682.985802,418,44.054711
-52.15,3,44.058143
-25.18932,11,44.06995
-20.453813,6,44.076767
-36.493657,16,44.094155
-19.855698,19,44.114468
-68.867222,398,45.742383
-52.75595,16,45.759678
-27.378119,83,45.84852
-686.038723,413,46.388575
-20.81039,29,46.421474
-161.253111,59,46.490899
-86.688612,40,46.54261
-27.452186,11,46.554976
-282.95,399,47.019036
-84.001699,102,47.14523
-24.625001,16,47.163991
5.306732,73,47.244534
-34.875001,21,47.267097
-12.649271,46,47.341434
9.82136,18,47.360498
-89.084363,21,47.382486
-34.080327,10,47.393464
-0.218985,24,47.425666
-50.05,1,47.427419
-68.218743,21,47.449357
-24.749284,26,47.478175
-258.057864,414,49.719811
-35.367136,8,49.732274
-33.346069,9,49.749602
-21.855698,9,49.763995
-25.265481,83,49.871508
-29.268953,74,49.956918
-50.05,1,49.958402
-292.6,152,50.13727
-26.03188,6,50.14455
-52.15,3,50.148212
2.796465,25,50.180187
-46.288663,10,50.193176
548.3,14,50.209262
-52.519274,29,50.243768
-27.154784,15,50.661577
-43.040607,6,50.668829
-26.579517,16,50.687905
518.9,2,50.691836
-41.54773,13,50.707858
-46.38034,4,50.712766
-80.79446,35,50.767118
-28.088203,16,50.789507
-25.83034,13,50.806742
550.2,16,50.836208
-27.613047,8,50.852617
-45.569274,20,50.892559
-6.409805,68,51.011698
-12.204294,12,51.025215
-51.6,2,51.027756
527.8,4,51.032505
-91.344487,98,51.144995
-30.698352,11,51.156695
-59.609641,33,51.19408
-50.279476,56,51.254426
-78.778151,56,51.326369
-33.407417,9,51.338953
-69.640947,88,51.466416
-15.425192,72,51.546788
-305.481983,149,51.714919
-41.697679,7,51.724413
-32.640774,39,51.767019
-153.052758,83,51.858208
-131.521512,68,52.559823
-194.570369,126,52.714183
-36.642477,82,52.827567
-50.05,1,52.829827
-109.502525,130,53.043424
-39.497576,42,53.094159
-53.7,4,53.099201
-51.1,2,53.102562
486.85,103,53.212437
-368.4,408,54.844877
0.747722,57,54.905611
-45.110769,13,54.919575
-50.2,4,54.924121
-110.18932,31,55.000356
-4.455711,14,55.015605
-7.871849,17,55.036077
-82.58034,38,55.079993
-48.971684,13,55.095023
-68.396005,38,55.141748
-35.003995,20,55.173731
-127.199378,59,55.242767
-6.290145,22,55.268751
554.85,23,55.293407
-72.465144,38,55.336073
0.676926,22,55.359566
-13.021849,10,55.370152
-34.779203,62,55.436739
-73.936737,49,55.490178
-38.632637,22,55.513473
-61.431257,52,55.568297
-30.557417,12,55.580936
-67.376407,19,55.601673
-17.173195,8,55.610478
-118.1,162,55.789722
-47.875054,67,55.860731
-43.638496,11,55.872948
-30.198891,35,55.909966
-37.86013,8,55.918831
-124.92139,34,55.956376
-23.492647,10,55.966924
535.45,11,55.978503
-55.244661,12,55.992038
299.25,175,56.205445
-32.540375,4,56.209971
-32.190122,14,56.23294
-77.47136,15,56.264955
-51.1,2,56.269329
-24.055366,10,56.290836
-27.963387,9,56.312872
-90.09942,36,56.378907
-26.958805,29,56.413542
-51.1,2,56.416145
-22.141586,18,56.437162
-39.471068,38,56.493555
-30.3001,76,56.580674
-161.478932,131,56.723648
-224.576515,413,58.387646
-32.14754,6,58.394426
-127.834363,46,58.444114
-85.825824,28,58.474641
-19.359779,52,58.556216
-5.972956,20,58.580733
-52.919493,35,58.620492
-239.572777,139,58.787951
-24.555339,4,58.794533
-61.088204,111,58.914275
-47.707072,22,58.93845
510.58034,12,58.951534
-788.253414,417,59.405678
-676.598752,413,59.904104
-31.533138,44,59.968644
-52.104902,12,59.989104
-360.930034,240,60.249844
-33.208705,5,60.256219
39.313352,45,60.307449
-40.802278,18,60.327226
-19.988711,6,60.334133
-23.963973,16,60.351488
-221.033632,185,61.844546
1.61282,11,61.856255
-51.1,2,61.859981
-63.802278,58,61.933489
-10.023704,16,61.95128
-48.995059,33,61.987447
-22.043185,11,62.000017
-54.7,4,62.004576
400.475824,189,62.237239
-32.67864,8,62.246321
-20.56039,24,62.274724
-50.05,1,62.27633
-52.15,3,62.279895
-42.514553,14,62.295823
36.307353,74,62.386292
-53.284379,16,62.410266
-202.905339,121,62.547874
-85.969906,36,62.587482
3.4,92,62.685195
-31.643485,18,62.704444
-34.409675,14,62.719459
-12.230046,19,62.739761
-14.74137,13,62.75351
-51.05,1,62.754948
-6.617379,17,62.773202
-111.255711,150,62.931164
-22.35,17,62.950083
-52.1,2,62.95256
-53.590947,27,62.981794
-81.95,69,63.055239
7.159855,13,63.069904
-33.342136,4,63.074529
-27.113813,14,63.08914
-112.489704,136,63.232547
2.572589,23,63.257451
-32.31105,34,63.316872
537.631056,52,63.37548
-67.216368,40,63.42094
-25.290122,6,63.428711
16.410678,36,63.479642
-43.803047,10,63.492507
-3.722956,15,63.510761
-125.594661,39,63.556465
-41.634856,14,63.57237
-50.05,1,63.574169
-539.26966,249,63.843425
-10.26388,30,63.874664
-50.05,1,63.876288
-20.116391,20,63.897941
-149.319051,179,65.254848
-43.952186,21,65.279907
-129.284271,80,65.372569
-17.404294,26,65.401873
-22.75364,6,65.408492
512.85,3,65.413408
-6.56039,24,65.440111
-3.442647,19,65.460132
-52.205339,37,65.499816
-35.822983,7,65.507514
-510.387889,412,66.017561
-128.515621,110,66.142152
-44.895098,48,66.196954
-53.051699,3,66.200536
21.557973,83,66.291229
-44.504078,11,66.302916
