#{"t_start": 1764171265.388155, "env_id": "CityDrone-v0"}
r,l,t
-201.765692,91,1.204385
-66.98999,6,1.211297
-107.031179,34,1.252579
-194.292431,62,1.334688
-241.411488,104,1.453557
-115.422876,23,1.477874
-146.341657,43,1.523962
-240.090958,118,1.654239
-450.513815,227,1.896969
-59.402208,2,1.899619
-89.45097,8,1.908729
-108.336068,22,1.932411
-119.882576,45,1.981614
-108.724968,24,2.007107
-124.448469,48,2.05918
-75.970992,6,2.066885
-181.286631,64,2.136237
-216.84903,71,2.213265
-265.711074,150,3.942963
-264.00881,104,4.057114
-244.388088,230,4.308906
-246.232051,73,4.390553
-258.573674,115,4.515351
-299.487149,241,4.777003
-76.11175,13,4.791196
-128.508421,40,4.834807
-84.4,9,4.844666
-134.985786,50,6.014178
-88.243651,24,6.040755
-431.187284,154,6.934917
-382.257287,161,7.117863
-107.785671,124,7.252812
-65.308421,14,7.268274
-50.697675,29,7.2994
-60.849876,2,7.30186
-67.028932,4,7.306429
-261.137975,91,7.40331
-76.510197,12,7.416517
-207.100522,123,7.550699
-89.518085,8,7.559375
-152.623743,48,7.613478
-68.303124,5,7.61912
-59.4,3,7.623067
-65.4,3,7.626555
-251.830475,118,7.75517
-47.682789,22,7.780321
-89.541158,76,7.905784
-246.778029,233,8.865338
-91.299505,13,8.879196
-110.498039,66,8.950163
-307.785627,230,9.200501
-63.233717,33,9.235343
-108.268068,32,9.270332
-174.057359,83,9.358408
-91.487555,14,9.373699
-177.11267,204,9.595629
-224.415751,224,10.560467
-104.989399,19,10.583338
-54.21966,17,10.60321
-238.599777,218,10.846267
-111.730146,81,10.935766
-355.146699,223,11.186653
-79.710405,8,11.195865
-45.818274,6,11.2025
-115.961033,157,11.374884
-70.077409,25,11.401647
