#{"t_start": 1764171246.2928488, "env_id": "CityDrone-v0"}
r,l,t
33.628427,65,1.102081
-119.472619,97,1.259225
-97.848317,40,1.305585
-67.396569,51,1.357966
-68.602427,43,1.402111
-233.824555,240,1.656536
-103.108163,46,1.710546
-106.054226,135,1.853323
-109.673116,116,1.974575
-411.570491,243,4.578563
-101.645238,43,4.628304
-56.745946,16,4.65342
-54.488659,19,4.678398
-229.658311,247,4.946694
-58.502325,17,4.96693
-145.569773,101,5.076366
-176.642641,114,5.195868
-79.039274,56,5.252902
-94.787972,27,5.282062
-218.203124,152,5.438991
-68.605867,53,5.494078
-215.198024,238,7.629738
-101.298246,103,7.739411
-66.041428,29,7.769803
-286.530988,92,7.866544
-218.186211,236,8.154573
-107.327864,29,8.188632
-94.448641,109,8.303159
-213.856009,247,9.432788
-140.210582,64,9.505791
-248.872588,239,10.484143
-52.880456,33,10.51989
-64.489174,50,10.568519
-211.714214,66,10.633761
90.8,15,10.648582
-79.5,65,10.712473
-67.019768,39,10.750356
-78.353488,58,10.809536
-180.932413,166,10.973148
-140.79378,35,11.00946
-244.893752,88,11.098207
-67.551175,56,11.153297
-49.402087,17,11.17169
-414.644298,189,12.83002
-350.817554,208,13.03867
-63.428932,42,13.081383
-96.617483,108,13.189427
-227.175425,249,13.434172
-198.330517,214,14.493994
