#{"t_start": 1764171281.4514902, "env_id": "CityDrone-v0"}
r,l,t
-175.264998,145,1.180599
-188.245557,172,1.386113
-56.750935,18,1.406457
-54.48011,7,1.414471
-134.606493,109,1.537842
-52.272179,18,1.55881
-60.46278,21,1.582726
-85.062278,102,1.702722
-223.67503,124,1.846931
-205.358916,214,2.099258
-340.788088,221,3.221835
-58.601038,18,3.243012
-124.772643,147,3.413062
-231.275815,238,3.673487
-51.412003,8,3.682542
-220.249731,241,3.947816
-138.858405,81,4.036406
-88.740661,101,4.146261
97.814214,10,4.157461
-92.90098,46,5.196369
-69.757733,49,6.685568
-46.90002,16,6.705639
-231.086142,238,7.015471
-54.644004,13,7.032564
-218.401357,228,7.314402
-170.604017,149,7.500351
-82.348021,67,7.585803
-142.544489,57,7.655946
-70.325205,59,7.729455
-61.186833,18,7.75207
-42.856693,9,7.76362
-136.481833,175,8.646161
-205.912574,219,8.920376
-74.588617,57,8.990446
-66.102402,33,9.030426
-62.79119,26,9.062295
-213.422801,230,9.325683
-56.102486,23,9.352342
-216.553822,233,9.61794
-107.667868,74,10.532589
-59.983527,23,10.559121
-65.602427,39,10.606616
-204.954074,181,12.247065
-213.446211,229,12.53398
-100.045926,40,12.583515
-202.406695,229,12.861024
-225.187175,239,13.155245
-122.7,145,14.297832
-175.148858,114,14.441618
-83.653789,80,14.528956
-108.32078,104,14.642455
-203.775815,222,14.891818
-76.261989,62,14.962658
-210.78233,231,15.21639
-98.389357,82,16.129908
-108.314214,36,16.170657
-53.495835,20,16.195501
