episode,r,l
0,-74.50555127546397,34
1,-53.803247600221084,15
2,-85.72638411716551,81
3,-54.60858483573251,18
4,-50.261318539262334,3
5,-232.3137887287295,247
6,-61.094828515041954,16
7,-58.01024967590666,16
8,-52.14168984108153,26
9,-63.44881099326383,27
10,-60.22942192652086,27
11,-59.7,15
12,-207.40223580745706,240
13,-101.48037931684274,119
14,-210.39494549172343,223
15,-60.00555127546399,47
16,-52.72195230970835,17
17,-52.31339994650244,10
18,-63.49586569570946,73
19,-142.55629116974677,193
20,-87.59514594352143,83
21,-53.00362368282269,10
22,-51.73281640505855,6
23,-61.63241329521951,35
24,-58.964026427070124,22
25,-53.78230489823948,16
26,-57.366149464577816,20
27,-55.0578347358996,9
28,-51.53693430166985,4
29,-61.35885232743369,23
30,-52.403409379547725,40
31,-167.41941415110784,69
32,-64.27003591385834,26
33,-50.936106111309954,2
34,-63.30877728388535,24
35,-57.15348750847129,17
36,-85.28221071597133,85
37,-63.53251062332115,35
38,-62.464026427070124,27
39,-71.68338857098189,50
40,-57.04948974278318,12
41,-55.903697236406984,20
42,-53.27394229573015,13
43,-52.02942192652086,9
44,-49.51979088241294,5
45,-60.05963421678027,34
46,-50.745946184200825,7
47,-61.48707940562519,22
48,-61.744157891076476,24
49,-53.03583797928136,14
50,-50.896875762567156,12
51,-113.60232526704266,106
52,-65.97858563650756,40
53,-53.4,18
54,-50.23763776317808,7
55,-212.12114764459432,227
56,-75.25735404761983,69
57,-142.10103585858826,184
58,-54.53527618041009,9
59,-220.33606797749997,229
60,-55.098245749008626,15
61,-61.62466881591354,34
62,-56.06235195291892,17
63,-58.685164807134505,13
64,-78.2408664891343,70
65,-97.6436343754554,108
66,-51.4934443842663,11
67,-144.90655561573388,197
68,-54.94376889126822,5
69,-53.598024427876226,24
70,-57.28735113156894,21
71,-52.57473582457796,12
72,-47.20242703803114,4
73,-56.528932188134526,18
74,-55.65504844100688,9
75,-51.253641244557656,10
76,-89.47820606145886,71
77,-52.10687261016113,4
78,-61.526184692010915,21
79,-51.800000000000004,5
80,-80.81107351489139,62
81,-205.34122044774244,229
82,-59.40098048640722,27
83,-58.60225797711421,18
84,-51.19482851504195,9
85,-91.80000000000003,93
86,-54.82109769265378,16
87,-55.70312423743285,13
88,-55.053487508471285,11
89,-56.55735931288072,14
90,-50.88165147267076,2
91,-87.59110793675544,80
92,-64.15156821673484,24
93,-56.776894374382344,14
94,-55.78578643762691,10
95,-87.76061470318749,60
96,-57.043938467319194,16
97,-50.928391561743275,5
98,-52.7,17
99,-144.51009821065844,176
100,-221.39722523457522,244
101,-60.4408664891343,34
102,-51.800000000000004,5
103,-65.46445275725752,35
104,-77.5247247511431,64
105,-226.10662386291793,111
106,-49.8076408527536,3
107,-54.82894012535877,20
108,-55.31002261326093,13
109,-50.620386468329485,6
110,-51.400000000000006,9
111,-49.66253079783877,8
112,-51.23763776317808,7
113,-201.2299097884078,227
114,-59.72785260545888,23
115,-53.95012437887911,25
116,-53.800000000000004,8
117,-50.1,1
118,-73.73606797749979,91
119,-51.3599666214116,7
120,-61.6,27
121,-1208.6832464077306,238
122,-61.494312767363475,19
123,-668.6245752322072,252
124,-70.04456264653803,57
125,-128.47036061667745,159
126,-216.77313241874438,167
127,-80.99897948556634,57
128,-52.3928745615262,11
129,-66.93613523749497,40
130,-51.55599625468247,7
131,-289.887831131675,152
132,-61.63606797749979,13
133,-51.59530159955734,22
134,-172.28512333026055,108
135,-50.77626854385005,6
136,-57.79774068562029,16
137,-246.37669683062205,243
138,-47.62795170172731,5
139,-52.50196097281443,8
140,-53.43774225170145,20
141,-50.05037580135728,6
142,-79.76408687201587,79
143,-126.35311678088101,152
144,-87.98357978013996,95
145,-71.30956911221034,39
146,-67.83346009561005,46
147,-60.498245749008625,20
148,-55.39444872453601,22
149,-51.91785214098197,8
150,-51.87157287525381,11
151,-69.8,24
152,-48.71490169311829,9
153,-51.052037813752186,13
154,-52.32892477105665,10
155,-50.51525165780596,4
156,-51.99711568577114,8
157,-49.711694718432746,5
158,-77.11421356237308,54
159,-1204.6314828717664,240
160,-60.5142135623731,17
161,-54.29901951359278,10
162,-52.420504781999675,15
163,-52.391457662670966,14
164,-58.216624790355404,20
165,-61.24263787318116,21
166,-62.0202722496022,30
167,-72.63527618041007,34
168,-75.90251884394034,49
169,-49.776521765660945,11
170,-127.63985868263234,176
171,-46.18232565917439,12
172,-436.31490169311786,233
173,-53.2234989792853,17
174,-54.914835192865496,18
175,-49.62827661624195,7
176,-50.346211251235324,7
177,-53.99479502589204,11
178,-50.840026741955214,6
179,-50.656321217447854,4
180,-68.20283033043096,48
181,-57.393824666842185,21
182,-79.59492030493347,65
183,-50.89981316465762,6
184,-49.96855215763228,3
185,-53.09145766267096,12
186,-62.28276253029822,36
187,-382.41890962431205,138
188,-49.12485656063016,6
189,-168.99705009896417,224
190,-49.12782765741245,2
191,-55.816256983294565,11
192,-54.766149464577815,10
193,-52.77157287525381,14
194,-62.11760527676262,35
195,-655.290957922585,231
196,-57.24411891434016,31
197,-1119.734173130971,231
198,-151.40098048640735,219
199,-57.99070521861377,30
