#{"t_start": 1764171124.4856162, "env_id": "CityDrone-v0"}
r,l,t
-122.606695,27,0.90496
-49.046602,2,0.906518
-400.001902,136,0.973008
-60.491559,7,0.979046
-54.817699,8,1.012396
-71.365737,38,1.045625
-85.776478,72,1.116632
-77.271597,49,1.145594
-83.21989,15,1.157112
-166.58975,71,1.316522
-57.478249,26,1.327417
-235.441657,59,1.375042
-178.868853,108,1.441789
-52.597294,6,1.444581
-88.809831,68,1.47637
-80.622876,47,1.498366
-72.715974,71,1.532935
-145.068002,46,1.551907
-51.764337,4,1.553799
-176.4,65,1.580642
-88.448781,13,1.587684
-550.462301,191,2.278723
-50.426667,6,2.282019
-108.228932,30,2.295833
-101.727463,114,2.354673
-61.4,6,2.35773
-94.627618,57,2.391873
-108.714672,18,2.402298
-76.617843,14,2.409365
-129.655543,64,2.442958
-58.726667,26,2.455497
-49.595199,3,2.457341
-442.730438,231,2.560363
-355.597763,157,2.646068
-113.31025,27,2.660796
-168.985627,116,2.715244
-68.474599,47,3.58561
-187.106624,42,3.604578
-53.992431,8,3.60865
-266.842518,242,3.742506
-350.356351,238,3.873387
-100.053467,40,3.892188
-281.440184,238,4.001807
-426.773495,140,4.085956
-202.624086,66,4.798118
-58.637975,14,4.805949
-50.81779,10,4.810636
-250.117843,49,4.83327
-190.155498,151,4.90831
-56.828392,15,4.91562
-175.023014,59,4.946597
-300.12501,153,5.05999
-48.778528,2,5.062884
-182.378869,171,5.152029
-96.173618,52,5.177056
-208.771689,228,5.333198
-64.297385,8,5.343519
-89.923611,76,6.071041
-53.53194,12,6.076641
-184.236187,47,6.099929
-57.257171,16,6.109529
-48.778528,2,6.110571
-138.598246,96,6.152735
-234.886971,66,6.182107
-62.205836,22,6.195524
-115.623106,63,6.228052
-601.956493,141,6.317143
-176.2,58,6.344803
-61.466989,22,6.357474
-177.31025,65,6.387382
-54.897294,14,6.394859
-68.749964,49,6.42258
-360.932056,236,6.553051
-90.840954,21,6.565047
-54.310291,11,6.572154
