#{"t_start": 1764171226.209572, "env_id": "CityDrone-v0"}
r,l,t
-75.449888,43,0.963841
-61.569048,19,0.991104
-53.312302,21,1.022868
-65.276894,33,1.08768
-52.698253,7,1.099523
-54.484803,12,1.11751
-49.032056,2,1.120848
-53.57379,12,1.135948
-112.717634,114,1.297987
-69.027797,34,1.345079
-52.892061,5,1.351719
-50.493277,5,1.359757
-47.096694,8,1.370019
-54.986833,12,1.3863
-78.188911,38,1.439771
-52.49492,8,1.449916
-102.047531,90,1.738975
-109.640954,108,1.878728
-52.843146,6,1.885874
-97.463741,96,2.009762
-70.27379,43,2.067979
-50.443244,9,2.082876
-71.4,34,2.142519
-51.963957,29,2.1837
-50.189857,18,2.205466
-57.463258,32,2.246009
-62.986142,23,2.276043
-50.102258,7,2.284805
-60.036551,25,2.315624
-53.955385,8,2.325911
-57.571378,17,2.34744
-54.20551,10,2.360206
-84.351998,78,3.784219
-156.870286,182,4.919235
-53.257171,7,4.927518
-103.974248,70,5.014218
-78.835793,52,5.076786
-54.084423,34,5.118016
-61.742641,27,5.15228
-144.571723,187,5.377923
-68.597003,43,5.429741
-56.088897,18,5.450887
-50.4,3,5.455337
-217.570992,239,5.75647
-57.227864,20,5.782082
-58.186145,14,5.801452
-50.387212,4,5.806715
-87.982041,78,5.900416
-63.673861,45,6.480202
-52.425046,6,6.487902
-50.058053,3,6.492223
-104.104473,129,7.611128
-128.562905,163,7.833014
-99.468129,120,7.985742
-54.911715,21,8.011532
-57.012104,23,8.041773
-150.818233,185,8.267858
-48.965737,2,8.271515
-76.769854,75,8.36239
-60.4,22,8.388705
-223.369725,244,9.605387
-77.080357,67,10.502702
-82.356264,52,10.579745
-118.417832,122,10.758298
-77.276452,63,10.843308
-622.382175,223,11.148008
-49.870414,15,11.166971
-148.380557,162,11.380805
-85.493428,73,11.46872
-49.285786,2,11.471849
-202.832107,218,12.495776
-51.976894,4,12.500782
-82.806893,90,13.351005
-93.648933,107,13.483951
-92.815244,101,13.607666
-47.884249,10,13.620069
-86.29953,86,13.725573
-78.201036,51,13.78537
-93.445146,101,13.906987
-80.517237,75,13.9956
-63.3,31,14.032851
-56.86737,27,14.065768
-50.330761,14,14.082437
-209.5,230,14.397052
