#{"t_start": 1764171369.536406, "env_id": "CityDrone-v0"}
r,l,t
-76.255728,58,0.861664
-90.729603,112,1.096779
-74.869811,61,1.206857
-93.424934,26,1.252771
-329.28975,240,1.668463
-184.0,217,2.093475
-279.531014,208,2.446464
-108.983315,139,3.953897
-104.70901,114,4.159456
-125.290958,51,4.249478
-215.644445,232,4.649932
-135.061595,191,5.06628
-83.220386,76,5.210736
-166.915322,29,5.271035
-54.726796,20,5.307877
-80.680456,119,5.524141
-60.4,19,5.55529
-196.674697,224,7.128954
-49.183246,5,7.138728
-142.773898,211,7.515251
-60.340343,25,7.555945
-167.98034,54,7.644635
-54.808883,32,7.695451
-170.139516,33,7.750181
-69.346772,35,7.812448
-59.603514,33,7.876302
-46.701961,24,7.934931
-103.102325,131,8.25176
-52.055996,14,8.279626
-156.572326,34,8.341116
-52.472078,22,8.381119
-52.371473,16,8.415492
-52.874915,18,8.449916
-73.526958,37,8.525745
-72.931538,73,8.678761
-49.354529,12,8.69852
-66.563218,64,9.579146
-48.881918,7,9.59241
-46.064819,16,9.630462
-49.686043,11,9.64849
-43.796189,16,9.681832
-48.136068,10,9.698091
-72.407333,81,9.837591
-137.444215,64,9.97219
-309.88221,70,10.13931
-54.814719,38,10.208542
-54.042518,29,10.256985
-159.884227,45,10.33377
-46.161595,6,10.343153
-47.360787,16,10.368654
-52.175526,16,10.395065
-46.761033,8,10.409555
-49.314993,12,10.432547
-78.7,38,10.501684
-53.464338,42,10.575982
-49.628627,6,10.586387
-53.366019,28,10.63603
-125.449876,169,10.94825
-52.39902,12,10.977472
-58.914214,24,11.068382
-82.118006,24,11.122099
-108.985281,126,11.334476
-171.323398,216,12.432921
-58.286043,19,12.468823
-45.026673,25,12.51107
-77.8,39,12.585249
-124.056373,52,12.67126
-98.544358,19,12.706128
-98.9,73,12.830931
-145.9,210,13.290653
-50.450903,14,13.31166
-77.857817,57,13.41677
-63.246211,17,13.449074
-146.230608,47,13.549552
-57.659693,45,13.643035
-125.317843,35,13.702664
-70.415276,45,13.787699
-153.361279,40,13.864373
-50.320505,12,13.884133
-120.434314,36,13.962743
-51.486043,12,13.991125
-62.31989,50,14.122961
