#{"t_start": 1764171452.478701, "env_id": "CityDrone-v0"}
r,l,t
-51.818483,12,1.386222
-52.9436,10,1.413628
-67.468653,34,1.568234
-92.818436,80,1.89114
-53.921854,7,1.926814
-210.699201,212,2.366334
-57.274101,13,2.389393
-57.016046,13,2.416619
-54.356726,5,2.423488
-46.314308,7,2.440261
-68.05097,31,2.503236
-52.213855,6,2.513811
-70.82967,74,2.655451
-49.782763,2,2.658855
-60.640366,30,2.718181
-52.903289,15,2.75169
-67.720505,36,2.823579
-49.65373,3,2.828878
-57.703124,13,2.858422
-50.053709,11,2.880988
-64.058124,37,2.954321
-236.20002,184,3.306806
-47.674062,8,3.323307
-50.265021,3,3.32876
-52.806873,8,3.346829
-56.642713,14,3.377168
-51.05097,6,3.392754
-52.846376,21,3.4347
-90.800559,90,3.617084
-62.546376,46,5.011425
-53.707924,12,5.039575
-175.518082,28,5.155377
-54.072136,9,5.178525
-56.023106,11,5.211037
84.0,37,5.299473
-50.964219,10,5.338711
-49.791796,11,5.363097
-290.371068,70,5.50721
-48.020702,4,5.521009
-53.872336,14,5.551558
-118.583315,65,5.699701
-60.278206,20,5.745126
-54.022923,11,5.775953
-56.464338,37,5.842518
-93.952896,74,5.989821
-72.141705,64,6.121988
-95.168853,21,6.171373
-53.379611,7,6.194115
-52.625999,17,6.234436
-46.751523,4,6.239891
-47.382763,6,6.254176
-49.337975,2,6.257032
-50.238058,9,6.276939
-112.303771,92,6.50559
-56.067437,31,6.573133
-274.779102,228,7.01928
-54.42621,9,7.037062
-77.370179,73,7.958648
-51.840922,26,8.029611
-56.424086,24,8.084063
-50.779292,25,8.177942
-93.678356,40,8.267033
-56.462278,7,8.279649
-51.011695,7,8.295644
-159.661195,36,8.409572
-45.241705,18,8.442947
-50.828427,13,8.472244
-50.572136,4,8.477902
-44.444741,15,8.509202
-55.3,21,8.55331
-50.81779,7,8.564175
-71.1047,31,8.62722
-74.383954,61,8.755143
-62.342641,17,8.787934
-97.633705,106,9.011556
-64.708883,55,9.135391
-49.76442,8,9.174746
-91.8,133,9.647904
-46.182168,17,9.685913
-98.114019,37,9.772799
-48.255903,15,9.802358
-157.272361,52,9.907127
-45.394591,22,9.945351
-39.9,15,9.976711
-443.280019,166,10.298362
-48.840366,5,10.306093
-64.953789,44,11.320832
-75.783411,27,11.389559
-64.083935,21,11.473961
-70.401754,44,11.665878
-47.3,6,11.69798
-58.465021,15,11.724564
-200.901955,65,11.884839
-47.194597,5,11.890365
-48.394105,27,11.945767
-47.148374,4,11.951498
-48.063932,6,11.964259
-46.627475,27,12.014413
-187.956574,38,12.080643
-47.693427,2,12.086581
-56.2,33,12.140416
-73.500799,16,12.167706
-55.117843,30,12.21926
-62.184701,23,12.263005
-45.451956,18,12.2994
-46.84018,4,12.305878
-59.894164,23,12.356689
-53.61779,28,12.412811
-53.079515,19,12.447858
-46.673674,4,12.452916
-48.066989,5,12.463265
-59.327191,49,12.553689
-314.362531,96,12.715894
-45.121971,20,12.755114
-51.714214,27,12.81179
-59.659693,25,12.864649
-45.882763,21,12.903767
-247.1,50,13.014314
-73.383346,64,13.124815
-50.4,6,13.13679
-58.853228,27,13.186265
-159.443884,42,13.266749
-48.823106,5,13.274193
-225.69902,55,14.098742
-194.8,75,14.28741
-48.315079,2,14.291266
-46.891558,4,14.304133
-54.678834,35,14.386692
-46.746605,4,14.397079
-47.193427,6,14.405735
-48.420859,27,14.460316
-67.930952,26,14.508103
-51.104515,7,14.522913
-49.3,6,14.537046
-72.943274,51,14.629614
-49.973674,12,14.648883
-48.446605,5,14.659751
-59.378834,48,14.748545
-48.277354,6,14.759471
-707.931779,210,15.15286
-47.840366,5,15.163356
-47.400799,5,15.178641
-51.336068,7,15.194052
-69.680557,47,15.279798
-53.8,5,15.289015
-51.264159,4,15.296499
-50.848317,21,15.341752
-46.69855,4,15.352154
-47.7265,5,15.359971
-59.09902,28,15.413826
-275.786855,37,15.484934
-46.828932,4,15.491965
-109.263932,62,15.622444
-99.211407,37,15.706196
-54.592587,48,15.808543
-154.644615,64,15.925545
-49.826185,7,15.941075
-80.787212,68,16.065413
