#{"t_start": 1764171388.594037, "env_id": "CityDrone-v0"}
r,l,t
-80.502235,73,1.046406
-50.223106,7,1.064781
-115.195895,122,1.391084
-63.695008,29,1.623268
-115.585786,141,1.980846
-52.536106,11,2.006585
-66.216524,48,2.111966
-69.904465,52,2.250206
-51.898246,38,2.383777
-53.25947,8,2.402876
-101.685165,13,2.437241
-50.887351,7,2.453458
-55.614835,45,2.574524
-51.255655,6,2.592555
-48.666915,7,2.617955
-140.503748,59,2.776806
-102.305551,47,2.884647
-56.995895,27,3.065473
-50.1,1,3.074115
-61.604129,20,3.136294
-61.705551,16,3.19586
-49.1,12,3.230828
-79.941897,23,3.31152
-167.960848,88,3.534817
-59.613448,23,3.598036
-48.185786,5,3.614052
-61.495329,28,3.725704
-50.66592,18,3.774769
-46.928932,12,3.809959
-56.723106,23,4.956906
-81.593953,25,5.030579
-68.684122,45,5.122063
-48.471573,3,5.129573
-40.065245,9,5.14708
-56.0,22,5.189391
-48.713453,5,5.198817
-117.096152,84,5.363963
-51.92894,7,5.376334
-55.636573,11,5.397229
-68.717102,35,5.46885
-55.773439,13,5.496587
-54.500505,20,5.535268
-61.693044,18,5.573341
-59.656264,17,5.607486
-107.256029,197,6.049274
-50.0,4,6.05827
-68.141657,21,6.101256
-48.409525,13,6.128216
-49.904825,13,6.153572
-66.741705,11,6.176086
-48.987284,6,6.186398
-46.982799,11,6.208338
-89.040847,29,6.265509
-53.369007,12,6.287246
-56.405551,19,6.324007
-46.575445,12,6.350337
-133.512083,59,6.46193
-48.533726,7,6.478027
-98.906056,109,6.685735
-63.217554,37,6.757219
-53.080456,23,6.802631
-52.820663,21,6.842707
-64.952612,23,6.889867
-48.0,4,6.898855
-121.885303,105,7.93624
-69.673439,55,8.046187
-48.28669,4,8.055532
-45.145405,14,8.082944
-47.819849,6,8.094101
-73.10645,38,8.169177
-97.610627,34,8.231666
-91.897347,15,8.260641
-56.595329,10,8.279038
-68.203561,11,8.30255
-48.643146,14,8.32719
-59.281292,17,8.363675
-51.174163,21,8.40269
-106.271573,39,8.479034
-51.766109,37,8.548571
-56.159967,13,8.575615
-85.585165,13,8.598266
-48.097663,15,8.626746
-55.690707,19,8.664436
-55.103872,28,8.719363
-94.657922,30,8.777032
-46.405551,13,8.808105
-49.356291,7,8.828352
-49.008782,6,8.838921
-46.655903,19,8.879257
-48.215179,4,8.891444
-48.837722,4,8.897201
-52.393444,19,8.957513
-49.873808,20,9.052221
-52.48011,4,9.068143
-48.260787,18,9.118687
-64.176779,34,9.231597
-46.696694,9,9.259364
-48.027952,4,9.273215
-110.042641,93,9.520706
-55.556854,21,9.578168
-67.673116,27,9.642523
-87.579212,11,9.670108
-200.744181,56,9.842264
-60.554639,14,9.885383
-60.260983,53,10.086776
-51.017237,7,10.099604
-43.504825,14,10.138278
-90.134314,44,10.24
-53.4,23,10.838624
-57.082366,15,10.889168
-67.972078,21,10.948455
-48.559967,3,10.956115
-70.041161,15,11.007094
-98.976894,62,11.129179
-61.543156,17,11.163546
-49.619053,34,11.226243
-47.428932,19,11.271953
-46.61989,12,11.291706
-53.914214,12,11.316625
-52.843651,8,11.33067
-47.353631,13,11.367289
-51.164819,9,11.388
-47.40098,11,11.415474
-78.694845,21,11.465873
-82.853641,73,11.639843
-78.142713,44,11.736549
-76.366019,27,11.804041
-85.033541,26,11.867614
-50.523106,6,11.879206
-55.941657,15,11.922986
-48.582659,19,11.976371
-50.1,1,11.979552
-41.216524,14,12.029984
-45.955903,15,12.065117
-60.770036,14,12.093983
-50.089658,15,12.122051
-59.9,43,12.200013
-51.217605,13,12.225809
-70.588897,30,12.281747
-46.175445,5,12.291555
-46.808779,10,12.311128
-76.058713,28,12.363809
-103.572136,19,12.396042
-50.0,23,12.443121
-71.237975,26,12.497202
-47.553641,3,12.509172
-67.452419,64,12.681939
-80.8,102,12.877675
-60.3,21,12.94124
-55.812962,34,13.072155
-55.953305,10,13.092791
-56.031252,28,14.016891
-46.743891,14,14.04646
-58.536068,58,14.176684
-44.992464,14,14.210782
-81.512382,136,14.496813
-64.655996,17,14.534636
-81.59902,17,14.579033
-93.250124,28,14.637727
-46.455903,14,14.669963
-50.414271,9,14.690899
-50.265073,15,14.737254
-69.769048,30,14.815838
-50.262278,4,14.824933
-47.657359,9,14.844677
-48.332204,3,14.856745
-60.356363,31,14.959991
-46.037742,9,14.983312
-67.263932,73,15.134254
-52.214214,16,15.166416
-42.166109,9,15.184029
-42.053789,11,15.204914
-48.89844,23,15.250679
-39.086192,9,15.265481
-50.400505,25,15.31284
-56.912459,31,15.372919
-63.322789,13,15.395263
-45.868002,7,15.410293
-74.49902,97,15.604247
-53.785786,24,15.657868
-61.374062,18,15.699325
-48.474238,12,15.732871
-50.022801,12,15.759371
-56.80098,42,15.863339
-101.68975,27,16.059159
-50.8,8,16.081405
-51.07157,9,16.101011
-41.175445,13,16.186372
-48.000505,9,16.252949
-43.666109,19,16.304209
