episode,r,l
0,-55.400000000000006,15
1,-210.23091206644781,228
2,-154.7455860145265,107
3,-53.51577310586391,5
4,-197.1758369027902,51
5,-55.76415931915547,12
6,-55.41240203904749,35
7,-82.70985829483119,61
8,-68.49607679217694,53
9,-219.44165738677387,100
10,-68.57157287525382,54
11,-112.86904810515477,141
12,-47.61188829533047,19
13,-48.1,18
14,-50.05599625468247,5
15,-65.98970922205743,36
16,-68.05912049211533,46
17,-75.4619037896906,36
18,-81.58629150101524,76
19,-227.75407403820302,230
20,-70.2279517017273,49
21,-84.39699515385007,40
22,-190.49174100232955,224
23,-139.5255123914623,202
24,-62.987971831430286,44
25,-190.05293156866017,229
26,-68.85069501104131,54
27,-69.87446419325602,35
28,-56.946876563833264,35
29,-85.2380580731261,96
30,-72.59302818527378,50
31,-54.58528137423857,22
32,-49.283246407728875,13
33,-92.99155280742198,121
34,-45.00749409644585,4
35,-67.01200036885626,60
36,-51.27012707023375,14
37,-61.96661087846064,32
38,-47.2008516844915,11
39,-50.953311452041,10
40,-67.23324958071079,48
41,-64.63774225170145,58
42,-51.79110793675544,20
43,-68.64903032938192,38
44,-52.77921372800741,21
45,-51.57504525063847,11
46,-67.30662386291806,44
47,-152.00322600842136,86
48,-59.388088481701516,22
49,-45.952037813752185,4
50,-91.68563359423067,113
51,-87.6935958495147,104
52,-46.99833182662937,15
53,-54.25969349108945,11
54,-62.2,73
55,-72.21200307468969,77
56,-77.42967038573097,81
57,-51.86123965221798,26
58,-59.997508976830915,45
59,-51.120317946657295,14
60,-83.98033988749894,39
61,-136.17689437438244,210
62,-59.06429415087616,27
63,-53.800000000000004,8
64,-50.995497002620134,14
65,-176.30879716048202,212
66,-48.04575016883061,16
67,-60.64066110646763,30
68,-54.20109891272358,41
69,-70.3844797482935,77
70,-53.7148351928655,27
71,-55.76025403784439,16
72,-57.009766251774266,14
73,-103.28889744907201,34
74,-64.88357978013994,42
75,-179.5741112626045,217
76,-51.8152817055072,13
77,-46.979454394941094,11
78,-51.25672638470439,8
79,-88.06278272355674,150
80,-207.1274072442602,88
81,-57.47032961426901,15
82,-87.83279698375918,91
83,-55.57496438739213,17
84,-53.556868894363475,23
85,-58.900000000000006,11
86,-49.83849062029906,19
87,-53.30504250810694,22
88,-55.35937827073019,26
89,-172.22221285571663,228
90,-46.96224474913188,5
91,104.16225774829856,23
92,-52.048829522403715,24
93,-66.01662479035541,53
94,-90.65588108565986,103
95,-64.49949493661165,33
96,-125.6541339194244,78
97,-45.66440784847942,6
98,-55.28114574786861,6
99,-56.01409699526903,23
100,-123.17422280044278,49
101,-46.34445700024394,8
102,-67.56775939914611,99
103,-235.53774225170156,225
104,-69.08074069840787,56
105,-51.53375464409914,22
106,-50.31169471843275,9
107,-59.4584054212077,33
108,-81.04086648913429,49
109,-52.60724736564538,25
110,-53.847580634662826,14
111,-63.582099955626916,50
112,-61.67455861381653,22
113,-53.18791696266481,18
114,-49.65012437887911,11
115,-90.27929778106136,30
116,-54.23772233983162,18
117,-125.29615242270677,200
118,-72.34405263352414,71
119,-99.44167663915267,163
120,-200.3295123617661,79
121,-63.65889894354068,28
122,-49.87546659695336,11
123,-53.7,17
124,-54.09174100232936,18
125,-88.8149678267531,32
126,-64.02389733786896,40
127,-83.81070549192864,86
128,-50.244052633524156,9
129,-59.657816691600544,22
130,-51.475059247599674,8
131,-51.92686758125538,21
132,-49.60820393249937,13
133,-178.07923794838246,227
134,-44.71989011071948,23
135,-47.21853784793788,8
136,-51.64444543105624,14
137,-134.07137337219734,83
138,-51.562277660168384,9
139,-188.28791696266492,224
140,-90.99415963225158,121
141,-58.60098048640722,44
142,-56.74030650891055,24
143,-69.4199115349792,73
144,-52.15768111775878,25
145,-63.85183659393532,35
146,-62.971790164849715,32
147,-55.21223011917872,21
148,-79.6506852274178,102
149,-46.6690481051547,8
150,-75.1338505354222,74
151,-92.87150119586477,90
152,-91.08683298050516,78
153,-45.56587136373638,5
154,-59.9076408527536,27
155,-66.94066110646763,42
156,-192.23606797749989,217
157,-67.7,36
158,-55.30215625467043,30
159,-52.30976815547172,23
160,-46.516066408933064,11
161,-60.45599625468247,51
162,-53.56276281168689,18
163,-57.13606797749979,43
164,-50.65600927343286,37
165,-178.06997689464168,219
166,-55.532502752250565,32
167,-69.71890962431226,48
168,-59.191928134029546,32
169,-61.5615951895947,45
170,-65.24560392190658,47
171,-69.80196097281441,62
172,-49.00687261016113,4
173,-61.36029937502705,52
174,-67.93957199927952,65
175,-52.160847877319114,19
176,-51.96806761874748,11
177,-110.30764085275365,165
178,-49.00587866545674,10
179,-70.42278434993388,67
180,-68.51966011250104,51
181,-59.06188627909293,50
182,-51.67361490003763,17
183,-61.89179606750063,21
184,-65.55580770661413,78
185,-201.00000000000028,236
186,-56.12893218813453,31
187,-78.80028374225591,83
188,-56.53720396751431,32
189,-93.2723602069084,85
190,-61.79162239593503,40
191,99.7,5
192,-58.628427124746196,44
193,-197.7443661146197,223
194,-52.808662286909104,19
195,-76.3009804864072,104
196,-58.873861414414826,75
197,-50.72198537954368,12
198,-48.23132576532308,10
199,-58.60232526704263,23
