#{"t_start": 1764171325.918525, "env_id": "CityDrone-v0"}
r,l,t
-47.58669,3,1.344211
-108.780465,60,1.410857
-50.404515,3,1.414436
-55.970376,10,1.42582
-50.595199,3,1.429882
-56.69902,15,1.446198
-49.478586,2,1.448805
-51.1149,8,1.457594
-59.972114,15,1.473679
-92.9,94,1.588446
-50.983346,5,1.594475
-50.372114,4,1.601265
-54.874513,11,1.61533
-63.500853,31,1.655366
-57.302195,14,1.672514
-52.536934,7,1.6826
-50.953082,3,1.686828
-56.137742,10,1.698345
-53.242165,8,1.707977
-50.771769,5,1.714156
-50.1,1,1.715653
-82.873734,63,1.785016
-52.137136,6,1.792141
-49.502427,9,1.802392
-50.021654,3,1.806037
-56.856532,17,1.824267
-52.324038,10,1.835084
-56.071769,11,1.847038
-48.843605,9,1.857046
-60.50098,35,1.895883
-53.074298,5,1.901743
-49.60098,2,1.904316
-50.1,1,1.906098
-65.664414,16,1.925157
-61.31529,28,1.962284
-53.409044,7,1.975963
-55.99902,8,1.988228
-69.647148,42,2.07372
-50.05097,3,2.077849
-55.69902,6,2.086099
-54.639859,11,2.100782
-53.074736,8,2.112516
-49.619544,3,2.116719
-51.113705,11,2.130698
-51.769854,6,2.138917
-51.350124,6,2.146323
-63.282763,17,2.165507
-56.829165,12,2.178876
-168.417556,119,2.31155
-50.956726,6,2.318651
-57.475226,11,2.330902
-144.001902,108,2.459221
-53.709042,6,2.466247
-59.841926,12,2.481775
-58.9,17,2.501313
-52.643621,6,2.508632
-53.262258,4,2.513343
-48.797294,2,2.515997
-55.487212,13,2.532261
-63.358235,31,3.261358
-56.091559,12,3.279923
-51.57179,8,3.290432
-51.736068,3,3.294267
-55.786833,10,3.305352
-55.83822,13,3.319123
-53.38999,5,3.324824
-68.90159,36,3.363215
-55.80098,8,3.372327
-53.482576,8,3.381232
-51.008281,13,3.395754
98.0,6,3.402747
-50.043146,5,3.408809
-52.353228,5,3.414662
-50.238351,4,3.419168
-48.950695,9,3.432456
-60.443262,20,3.457027
-59.374298,14,3.474079
-49.364337,2,3.476658
-77.977745,60,3.549345
-57.227475,44,3.59906
-52.359816,6,3.605956
-51.3314,5,3.611926
-59.478586,15,3.628695
-51.1,1,3.630242
-55.690537,6,3.637285
-66.05475,21,3.661727
-75.687971,43,3.713203
-60.051837,19,3.73674
-53.329165,7,3.745335
-49.551837,2,3.748182
-57.053515,12,3.76286
-51.991203,8,3.77307
-61.191899,28,3.808018
-50.8,2,3.810559
-62.450935,34,3.852263
-78.219412,42,3.91303
-71.049876,33,3.962136
-56.518552,11,3.982657
-49.137722,9,4.00596
-76.265737,42,4.060916
-65.2,31,4.096709
-64.582576,29,4.12914
-65.900307,28,4.160039
-51.1,1,4.161807
-49.60098,2,4.164723
-50.157733,3,4.168234
-56.378976,11,4.182936
-48.727952,5,4.189449
-58.082763,14,4.206025
-63.397411,23,4.233032
-52.162911,5,4.239726
-56.358899,11,4.253096
-50.918436,3,4.256806
