#{"t_start": 1764171179.952598, "env_id": "CityDrone-v0"}
r,l,t
-51.1,1,0.858347
-47.297353,4,0.864842
-69.736314,35,0.905005
-83.097101,72,0.994114
-59.786145,24,1.023469
-56.505551,11,1.037348
-84.371293,77,1.12458
-87.203124,89,1.221464
-48.83194,2,1.224294
-56.819346,14,1.240237
-50.827828,6,1.246954
-51.317237,3,1.250562
-51.8,5,1.256551
-74.915559,44,1.311472
-67.607749,23,1.340887
-49.133981,2,1.343456
-52.671137,8,1.353373
-57.710434,15,1.370357
-63.373554,33,1.406863
-48.895199,2,1.409547
-53.5,12,1.422489
-53.563932,11,1.434939
-55.849834,7,1.443102
-61.111262,22,1.467083
-101.742641,89,1.580608
-54.56563,9,1.590467
-49.284155,20,1.617522
-50.227618,4,1.624779
-54.239172,7,1.636836
-53.946526,11,1.655891
-73.850146,72,1.759834
-51.740954,6,1.767851
-50.869007,2,1.772555
-54.212216,9,1.782962
-492.494449,210,2.059523
-52.949876,5,2.065237
-59.837136,25,2.093229
-55.268359,7,2.101508
-50.158207,3,3.246513
-54.882841,11,3.260407
-49.039172,4,3.265071
-65.102258,26,3.293263
-83.520273,67,3.365057
-54.130475,14,3.380276
-53.405551,11,3.392444
-66.393825,28,3.422691
-53.739043,10,3.43362
-49.660818,3,3.437146
-73.788897,41,3.480623
-65.563932,24,3.508204
-54.12005,11,3.52047
-49.3,6,3.527102
-60.374098,19,3.549827
-49.399611,13,3.565171
-64.791296,32,3.599283
-56.392022,10,3.612917
-49.4,3,3.617205
-55.19492,15,3.634608
-81.262278,51,3.697374
-101.356726,108,3.812737
-61.533981,14,3.827944
-92.343886,73,3.905731
-55.477827,12,3.918709
-62.044615,20,3.940192
-56.630007,19,3.961145
-49.774124,3,3.964721
-74.3,77,4.047275
-54.885079,14,4.06242
-50.096067,10,4.07341
-57.526273,16,4.090535
-62.236068,20,4.111732
-61.259755,30,4.144395
-56.3,10,4.155322
-64.115556,35,4.192136
-52.920007,9,4.202003
-52.36592,23,4.227409
-59.855124,27,4.256581
-62.146211,17,4.274866
-50.918436,3,4.278419
-51.369977,5,4.284018
-57.40881,21,4.306162
-53.255348,5,4.31176
-189.397913,170,8.073503
-53.826667,8,8.083448
-65.076894,20,8.118465
-53.553789,8,8.130004
-66.737601,31,8.165626
-83.301017,59,8.229379
-81.300375,71,8.306645
-52.932051,4,8.311289
-109.330952,106,8.423833
-50.559932,4,8.428962
-61.530952,18,8.448138
-52.121505,7,8.456361
-50.492431,3,8.460115
-69.071068,32,8.494911
-54.062278,11,8.510358
-59.765,38,8.552508
-53.947531,12,8.567177
-79.54949,48,8.619802
-48.95373,2,8.622706
-48.5265,3,8.626369
-53.746274,10,8.639639
-54.258053,9,8.65243
-218.354074,232,8.915076
-56.107857,9,8.925171
-51.136551,9,8.934956
-50.433899,6,8.94173
-78.974124,74,9.027121
-54.45097,11,9.03915
-53.464337,5,9.045052
-129.023743,143,9.892113
-53.909673,6,9.899129
-62.183954,20,9.921309
-91.338515,105,10.034029
-51.140823,6,10.040817
-53.464337,11,10.05294
-60.390534,26,10.081263
-53.028427,4,10.085894
-56.2,10,10.096687
-68.864393,39,10.138936
-69.409042,35,10.177258
-64.185126,34,10.214434
-55.776894,8,10.223269
-76.772978,62,10.290059
-53.738096,12,10.303311
-65.833453,55,10.363615
-74.976452,55,10.422992
-68.972427,33,10.458923
-54.091203,8,10.467935
-49.47379,3,10.471564
-677.372936,234,10.775783
-50.1,1,10.777292
-51.675698,18,10.797062
-58.3,13,10.811419
-743.278808,227,13.039294
-54.678146,15,13.06109
-63.35855,19,13.096196
-50.440343,9,13.108093
-49.0888,2,13.110919
-53.01803,10,13.123244
-97.062258,80,13.21067
-52.9,5,13.216342
-627.771293,239,13.478012
-59.612216,17,13.496402
-75.617485,39,13.540006
-65.869854,45,13.588699
-55.614214,7,13.596641
-53.211689,8,13.605512
-52.5,6,13.612326
-104.457346,118,13.737468
-51.84949,9,13.74737
-54.960609,11,13.759336
-51.469977,5,13.765044
-54.574559,7,13.772858
-71.794591,70,13.84732
-61.352624,17,13.865478
-69.07157,58,13.929395
-52.59902,6,13.936795
-53.9,5,13.943759
-60.817485,20,13.967026
-80.927427,63,14.726359
-49.253228,2,14.729897
-77.941657,33,14.782273
-93.21725,74,14.862741
-50.490958,5,14.868452
-54.054639,10,14.880327
-97.82202,95,14.981392
-79.974298,52,15.039572
-58.956339,13,15.055142
-52.646502,8,15.064606
-52.635346,9,15.074865
-85.035039,60,15.154414
-59.771683,21,15.179985
-59.526667,21,15.2061
-52.999813,9,15.21734
-62.743929,23,15.244897
-47.477121,2,15.248329
-62.45267,22,15.276508
-53.065021,7,15.285514
-54.37208,12,15.301814
-59.058405,25,15.334884
-95.744563,81,15.437928
-60.044445,17,15.46053
-62.460388,26,15.493741
-86.644378,70,15.61501
-54.018436,6,15.62553
-52.587079,9,15.639654
-51.8,2,15.643386
-50.372114,4,15.651683
-86.676395,72,15.812197
-50.721654,4,15.818108
-52.548641,13,15.861184
-61.646526,30,15.967092
-59.828257,30,16.007707
-104.764414,106,16.999845
-83.49902,75,17.097518
-53.974124,9,17.113249
-53.778146,9,17.126931
-56.368653,13,17.143826
-49.436934,4,17.149749
-53.788551,10,17.161458
