episode,r,l
0,-96.64621125123537,97
1,-324.4990195135925,119
2,-210.6125737915125,237
3,-51.68958037115122,21
4,-106.9754446796633,104
5,-71.17213595499958,47
6,-234.7050851069985,248
7,-67.01989011071947,48
8,-66.58430746154471,40
9,-140.51483519286558,220
10,-232.82666679394265,247
11,-77.77544467966324,62
12,-206.1314828717649,234
13,-1285.8393777194262,235
14,-217.30000000000018,238
15,-91.11483519286551,79
16,-226.19351916473784,245
17,-64.862951536093,20
18,-59.6,18
19,-218.66518325476088,238
20,-150.38055681285576,214
21,-131.741167951506,102
22,-66.5797664946368,39
23,-232.16904810515484,241
24,-494.84987562112076,228
25,-233.11378872872953,232
26,-228.2254414022014,229
27,-45.57231107285028,12
28,-58.32620968266859,18
29,-226.0769763740601,236
30,-365.2493970359005,228
31,-223.3513206249728,241
32,-210.0000000000001,226
33,-56.10232526704263,18
34,-241.33298123596492,243
35,-70.57660796541374,62
36,-103.5853527718725,84
37,-52.78593397036497,26
38,-45.345870889537956,4
39,-124.07106781186556,167
40,-130.21998138818492,154
41,-82.2151940487803,74
42,-57.84909682963472,14
43,-59.7,18
44,-50.1227843499339,19
45,-174.7492349969947,167
46,-50.24357022834221,21
47,-60.015194048780316,26
48,-45.67225362302043,6
49,-92.84448093198051,75
50,-212.19439156684075,232
51,-57.80192395219845,30
52,-203.47581525753992,221
53,-56.69327860799675,26
54,-223.46278552583254,233
55,-63.7305167020358,31
56,-1009.4387570303979,221
57,-55.40849542491527,16
58,-214.56835933906927,227
59,-71.74042147735203,50
60,-107.68422689413616,142
61,-226.11482050373297,232
62,-45.291796067500634,12
63,-208.17620691456472,236
64,-219.22391390801297,239
65,-74.84707976231701,72
66,-225.78901183108343,236
67,-235.78334617360824,241
68,-131.6586114131794,100
69,-212.78453666777045,233
70,-215.62299844406658,237
71,-89.29352643501687,106
72,-62.18184426481244,41
73,-85.7380234351335,82
74,-70.50436985901298,64
75,-95.43055483584601,106
76,-208.31341985837247,238
77,-71.32455532033676,38
78,-214.36658467953578,234
79,-56.66883367283171,41
80,-191.4594655514478,229
81,-55.21467195108936,28
82,-209.22722150338566,234
83,-62.107640852753605,29
84,-97.17262104503793,102
85,-201.7097802750117,229
86,-69.9,32
87,-207.1082797922741,224
88,-66.68975032409334,47
89,-201.20000000000022,225
90,-71.7501243788791,59
91,-122.59897948556642,122
92,-66.91302885213493,37
93,-105.87147314402793,120
94,-56.06857536327763,17
95,-50.675444679663244,13
96,-50.91807394855745,26
97,-51.0148351928655,26
98,-68.58025042791321,47
99,-281.28578643762665,220
100,-104.73503062168611,120
101,-78.77232601904916,91
102,-85.98683298050514,89
103,-59.76658467953559,20
104,-65.01110255092799,32
105,-217.77361849549592,231
106,-76.96227766016837,96
107,-53.47840271921995,11
108,-225.68331046953259,232
109,-49.115681067869595,7
110,-207.95480283296837,221
111,-119.59669424655027,166
112,-233.39302818527403,240
113,-69.91778992977027,70
114,-352.33345345427426,202
115,-88.64376187318248,87
116,-72.01257379151237,45
117,-61.07813961408052,27
118,-92.24410979847426,73
119,-198.7088826674534,226
120,-59.37951512987016,25
121,-60.03830378495668,33
122,-47.604824919635554,17
123,-95.80687464955727,103
124,-205.6204261934348,230
125,-67.3208587406076,66
126,-221.0360679775,230
127,-53.668074941043905,16
128,-50.9632581465756,13
129,-67.18566987052284,55
130,-50.29155809363509,6
131,-67.32892477105665,31
132,-93.3257606097312,93
133,-54.011407437552414,15
134,-73.27898644741647,66
135,-258.97711435400106,238
136,-415.8897503240931,234
137,-212.6306924773932,236
138,-70.7803570849829,73
139,-64.60558940927416,34
140,-79.88159543406466,80
141,-64.23713612063389,29
142,-55.56208873592635,22
143,-940.331252087486,217
144,-56.678145584873306,15
145,-96.41302885213494,78
146,-52.40773999738994,23
147,-223.12165393712533,237
148,-100.59530008928041,132
149,-51.97547132406029,19
150,-69.4177902063015,61
151,-63.92195123938799,39
152,-46.77699628592981,26
153,-65.00073819759646,44
154,-217.81785214098218,231
155,-75.5200978698202,68
156,-208.20764085275368,230
157,-72.76440784847941,54
158,-203.99327860799693,225
159,-58.17302878467991,27
160,-59.80555127546399,16
161,-211.20000000000013,224
162,-51.70196097281443,16
163,-61.4872120826148,36
164,-49.821951239388,12
165,-238.42165393712526,237
166,-73.89999999999999,59
167,-52.69308409021212,12
168,-62.64370883025339,23
169,-207.35685424949259,223
170,-57.83568550367288,33
171,-125.46201875813216,136
172,-218.31521520445278,231
173,-210.9693135608743,240
174,-211.9214570209205,232
175,-80.11954445729287,53
176,-107.50555127546404,137
177,-203.79226000261028,231
178,-53.122284153644586,18
179,-50.52819399053806,19
180,-60.3079391266933,50
181,-54.12327815320348,26
182,-225.94003337858857,241
183,-101.4804555427072,120
184,-60.12795170172731,31
185,-63.886834534810184,43
186,-209.04612666480853,232
187,-40.589596806972935,10
188,-57.515773105863914,14
189,-91.98669984213834,108
190,-209.919544457293,223
191,-55.561090126206366,20
192,-60.45011008764832,43
193,-48.48045554270711,2
194,-56.827864045000425,24
195,-54.40555127546399,11
196,-59.55685424949238,28
197,-60.4277326571909,29
198,-60.90289861842861,30
199,-205.60283033043106,226
