episode,r,l
145,-50.118211021871424,17
146,-46.25556924447578,8
147,-59.270867158288624,91
148,-39.780630840153314,30
149,-173.75195326694922,107
150,508.60685424949236,11
151,-79.75369526581537,42
152,-135.288341769101,74
153,-53.675413278187136,95
154,-35.84368973100271,16
155,-67.99871130596429,25
156,-55.99803902718557,86
157,-38.441326339012505,8
158,-52.977864045000416,9
159,-39.574006149379365,15
160,-191.5769520558161,183
161,-148.3486861765964,52
162,-42.51084682135199,10
163,-45.926375708221926,14
164,521.6768096208106,18
165,-46.04189236840163,15
166,509.4,12
167,-30.78390805281086,19
168,-60.641046284519206,45
169,-12.85391323202149,58
170,-27.320817823816487,29
171,-33.39666365325873,52
172,-55.87842712474618,31
173,-40.98809621030939,23
174,-49.770329614269,50
175,-41.46772452011436,20
176,-47.972422960101966,8
177,-58.611921284149176,43
178,-58.36400852732571,21
179,-56.87016889041368,39
180,-46.67731895041295,174
181,-94.6218054936,177
182,-35.347108547093626,14
183,-34.08978022143896,43
184,-70.69354798315729,54
185,-48.866810842415404,9
186,-130.38379346222257,257
187,-38.613940559734125,39
188,-38.069055852720396,117
189,-49.99458782780875,16
190,-201.4582094476803,127
191,-41.45199987026791,27
192,-39.08359213500126,10
193,-58.06845378827219,86
194,-46.539273946098184,4
195,-49.05465727004296,80
196,-32.83724296828101,38
197,-31.813785044061927,42
198,-25.612815421734588,125
199,-38.69320914717145,50
200,-47.13251396658913,2
201,-40.87302980214976,16
202,-45.45011849519934,8
203,-10.052862423171717,151
204,-27.817911604806223,53
205,-38.83379346222257,16
206,-61.92056274847714,29
207,-40.05,21
208,-67.41796226411321,91
209,502.25,5
210,-52.21261170690649,95
211,-45.14621125123531,108
212,-36.84477095354956,35
213,-43.24375152513429,71
214,-48.83331477354788,7
215,1.7385438199982346,283
216,-34.93881901520422,81
217,-582.6102197785609,251
218,-32.80894646614636,15
219,-79.39213562373094,95
220,-67.7491106406735,42
221,-68.82015587200628,402
222,-38.449110640673524,26
223,-41.36567908018375,16
224,-47.13570428196394,4
225,-46.099999999999994,12
226,516.8980390271855,46
227,-63.13448679172108,82
228,-42.343137036900245,33
229,506.37455532033675,9
230,-50.30604302087151,65
231,-62.695871866904106,45
232,-42.72779489814404,23
233,-54.57090598278161,99
234,-26.278427124746187,19
235,-60.95749685190563,33
236,-42.13558041260302,30
237,-69.54994432064366,62
238,-46.20879927695076,407
239,-35.379500648186706,120
240,-26.069027303306935,33
241,-141.581413920625,124
242,-41.1062484748657,76
243,-38.82803770974506,18
244,-41.54314575050761,24
245,-47.44945490541254,30
246,-33.52254529022504,15
247,-48.351279953558645,8
248,-39.117862505362986,7
249,-26.728675882504405,20
250,-41.33379346222257,26
251,-48.40451595422842,84
252,-52.828427124746185,20
253,-46.47874684940272,34
254,-38.05196097281443,35
255,509.0068542494924,33
256,-35.33232212363394,43
257,-56.99895095141505,38
258,-103.3453954810453,140
259,-72.68154621172782,89
260,-43.64999999999998,193
261,-59.170196613763416,20
262,-42.462651530646156,56
263,-175.1064520168427,72
264,511.4562484748657,117
265,-65.26664304345027,393
266,-51.099110640673516,29
267,-46.8,36
268,-45.15304670914517,39
269,-51.457738757527004,56
270,-78.90000000000002,228
271,-55.009900958637544,73
272,-30.024659192896227,89
273,-31.938715439785867,97
274,-64.66608024450188,51
275,-45.034012187826576,37
276,-49.60392194562886,20
277,-50.30000000000001,66
278,-50.32407665895094,121
279,-45.38208506685223,31
280,-56.791341041213464,242
281,-39.80553646866207,60
282,-62.030400846200834,297
283,-60.82266846142031,123
284,-45.64992877478424,12
285,-44.02786404500041,50
286,-50.99255360317148,64
287,-40.099999999999994,82
288,-47.59376794249992,35
289,-54.933581104639735,133
290,-42.602367350155795,24
291,-46.34842968604776,9
292,-42.5073881203459,86
293,-55.71083986019846,102
294,-58.51569077926361,174
295,-118.24300239172948,88
296,-41.29456830728916,17
297,-64.13209299412648,220
298,-42.37723353611573,16
299,-63.09118477769319,21
300,-70.03889744907204,65
301,-84.57548450340295,394
302,-40.699999999999996,24
303,506.65,7
304,-109.6166239731703,49
305,-55.94999999999999,79
306,-40.34285887176792,37
307,-35.69646000899354,11
308,-37.46201925974745,51
309,-22.165728752538104,59
310,-73.47967038573098,35
311,-42.69999999999999,74
312,-37.96199250936493,51
313,-50.44039727051534,391
314,-44.45745151700973,148
315,-33.400000000000006,78
316,511.0942719099992,87
317,-76.46021977856103,48
318,-79.09349742820152,87
319,-48.120329614269004,37
320,-41.52955633920017,41
321,519.5421356237309,12
322,-35.30561652471492,102
323,-20.13453837209059,147
324,-58.72959567436542,72
325,-57.39999999999999,78
326,-51.21083986019847,82
327,-37.83726875091073,15
328,-32.215802987889575,34
329,-625.2572937136493,332
330,-43.87890551451501,29
331,-35.458203760600256,46
332,-39.0941502896775,384
333,-31.87400073771259,387
334,-46.51796226411327,383
335,-33.82157447912621,38
336,-72.27352353058848,164
337,-65.14179623939975,26
338,-61.03005348391041,393
339,-46.64157417542158,175
340,-48.44590851318543,13
341,-32.29547098358361,104
342,-72.3434069437765,136
343,-42.1409605144483,37
344,-44.681631162186825,8
345,-61.86931380936114,269
346,-37.287242968281014,27
347,-71.9,288
348,-42.61896692719703,41
349,-38.70060577462668,47
350,-29.06211267770466,63
351,-25.82971345252892,67
352,-64.24561369755003,55
353,-30.74314575050765,278
354,-37.49530728291282,62
355,-59.892304845413264,10
356,506.3,4
357,-46.969930521874986,45
358,-30.181947079996423,23
359,-56.666407864998746,75
360,-29.31096425721522,30
361,-51.36575170120048,59
362,513.1462112512353,22
363,523.9815462117278,45
364,-26.400000000000006,48
365,-40.846938456699064,13
366,522.360219778561,54
367,-29.338067427793465,166
368,-48.51649916142159,95
369,-37.7023673501558,26
370,-44.34072123335474,34
371,-26.575484503402905,84
372,-32.48191584516999,378
373,-30.529500648186712,183
374,-29.741339918635916,24
375,-23.8500604231262,66
376,-154.7738911079377,344
377,-51.43655960964769,220
378,-18.949337631827227,364
