#{"t_start": 1764171160.037819, "env_id": "CityDrone-v0"}
r,l,t
-53.966628,10,1.124325
-56.082576,12,1.137912
45.962278,106,1.296983
-109.359693,111,1.429626
-239.248469,195,1.672516
-218.385128,238,1.976894
-59.339656,33,2.013019
-281.772643,226,2.300042
-87.588305,58,2.373501
-62.0953,60,5.177984
-248.8314,245,5.544709
65.828427,64,5.628655
-264.314271,235,5.909132
-62.248163,34,5.945972
-99.707039,79,6.035416
-52.818538,18,6.055958
-84.8,63,6.134699
-108.285165,114,6.268335
-57.921192,23,6.293911
-231.049101,236,8.555079
-70.071068,61,8.628004
-85.144215,103,8.793303
-118.937722,137,8.945994
-51.28011,13,8.959711
-78.5,52,9.013588
-164.586833,96,9.115373
-56.632391,27,9.14441
-45.560503,4,9.149596
-69.043274,44,9.200441
-91.146417,86,9.297066
-68.94903,36,9.335913
-95.433436,90,9.436353
-51.570036,10,9.44733
-102.242713,106,10.074712
-131.294597,179,10.997166
-65.524725,56,11.066136
-83.453082,82,11.152058
-212.039841,234,11.417091
-57.77166,20,11.439529
-87.157864,108,11.556529
-215.116181,227,11.823894
-234.302325,248,13.835788
-184.807676,227,14.093545
-67.172077,45,14.147355
-69.614627,60,14.213737
-222.275976,240,14.485897
-59.303561,33,14.51996
-190.674603,234,15.664857
