#{"t_start": 1764171525.565102, "env_id": "CityDrone-v0"}
r,l,t
-147.172172,64,1.09405
-515.769392,236,1.59302
-54.454639,9,1.611514
-51.763932,10,1.633105
-72.543862,55,1.750201
-80.789084,120,1.990389
-50.221371,10,2.039432
-63.191796,72,2.240955
-52.408945,14,2.270265
-170.712433,216,2.710532
-103.333981,114,2.940116
-52.505423,27,2.993047
-47.775882,6,3.003837
-48.983527,10,3.023915
-334.338387,138,4.191639
-51.179515,13,4.217464
-78.564819,29,4.286387
-51.537742,17,4.323873
-46.688659,6,4.338425
-44.673554,16,4.368353
-47.332112,7,4.380908
-57.748845,21,4.421857
-50.066251,5,4.431536
-49.269536,3,4.439613
-50.451523,14,4.466936
-59.454164,25,4.513139
-49.903624,7,4.525522
-46.104017,6,4.536438
-47.550612,13,4.563649
-64.817986,30,4.615536
-99.848642,62,4.734521
-54.685786,10,4.755762
-81.136285,115,4.984328
-49.9,13,5.019301
-56.679914,19,5.112205
-48.414306,7,5.167282
-66.457359,61,5.299993
-46.327864,7,5.316057
-120.787917,189,5.670188
-50.275698,22,5.709115
-49.463774,10,5.728708
-45.628932,16,5.760306
-46.761886,12,5.786738
-41.392771,20,5.823143
-53.090958,15,5.849597
-46.375526,6,5.860419
-47.771573,8,5.874206
-50.617699,11,5.898679
-49.937087,12,5.920955
-54.732056,15,5.949398
-57.211103,14,5.977268
-47.712962,5,5.986481
-49.594597,7,5.99712
-48.002677,15,6.02464
-55.351936,22,7.037055
-49.44949,4,7.04642
-46.337722,8,7.066072
-53.19902,19,7.117014
-52.907641,9,7.136225
-47.174223,7,7.15308
-53.472136,19,7.197362
-63.617419,41,7.283974
-46.872179,4,7.297287
-50.21025,9,7.325596
-49.228494,3,7.332043
-50.817237,13,7.460641
-57.187038,21,7.531395
-49.020505,7,7.54309
-47.568628,7,7.557383
-48.736762,5,7.566138
-89.821985,24,7.610373
-47.014845,8,7.624471
-62.779475,58,7.7529
-53.851837,16,7.786136
-71.144272,60,7.900966
-48.861033,11,7.919195
-44.793752,19,7.953926
-54.631257,10,7.970513
-50.585673,21,8.004071
-42.744741,17,8.03379
-46.548317,18,8.060999
-46.682763,5,8.071312
-109.219849,126,8.328421
-45.1,12,8.363781
-44.880456,23,8.414009
-47.591108,6,8.430827
-46.069143,9,8.447558
-46.569854,23,8.48981
-55.913029,19,8.521988
-48.18733,69,8.644296
-60.462278,19,8.678743
-48.461033,12,8.701853
-57.508892,14,8.732241
-127.819544,24,8.772866
-48.228627,7,8.787803
-61.792359,31,8.851738
-50.17166,9,8.873491
-53.043262,23,8.911728
-64.785165,22,8.953257
-46.625818,26,9.001965
-47.08877,10,9.018333
-54.105551,15,9.042867
-50.674599,13,9.065726
-47.615683,5,9.076029
-46.999119,9,9.089613
102.6,10,9.107012
-50.939903,51,9.918098
-44.529049,5,9.930529
-47.7,5,9.944783
-57.98975,51,10.080759
-51.0,10,10.101429
92.255385,38,10.172855
-46.01989,17,10.213445
-45.702427,5,10.223038
-38.10437,16,10.251518
-100.394449,42,10.323025
-45.260523,50,10.409978
-42.943146,13,10.433228
-53.585786,10,10.451405
-178.3,98,10.61287
-50.497954,11,10.634155
-51.413855,8,10.645616
-84.1,122,10.870622
-47.027864,8,10.883405
-47.280283,7,10.897366
-96.028932,24,10.956784
-45.387132,16,11.006411
-50.485786,13,11.031823
-57.085165,17,11.070622
-37.976572,24,11.120327
-55.239182,12,11.142488
-45.863664,5,11.15253
-64.563932,102,11.337105
-46.80437,6,11.351254
-44.680957,6,11.361044
-42.588022,10,11.382826
-47.283527,6,11.392702
-49.238731,18,11.425604
-56.672136,13,11.445593
-69.919544,21,11.483304
-50.975567,21,11.519052
-48.837742,13,11.539679
-45.208495,7,11.554508
-47.191108,7,11.564958
-54.544272,9,11.580151
-62.990816,43,11.651438
-41.096569,9,11.66913
-47.214835,19,11.702235
-41.264719,12,11.724413
-49.869811,12,11.747642
-70.099303,134,12.447442
-102.120898,53,12.544105
-44.717237,7,12.558806
-43.749144,10,12.575898
-48.075567,9,12.589562
-66.698246,23,12.634444
-234.754639,137,12.941503
-65.455728,16,12.987669
-53.685786,10,13.004673
-199.503787,44,13.08317
-45.696876,6,13.09632
-47.870179,6,13.106334
-44.280383,6,13.116326
-52.237722,14,13.14567
-63.142715,11,13.164693
-43.66153,14,13.192775
-48.98011,5,13.204574
-47.1134,4,13.213516
-46.358852,4,13.220141
-43.283262,7,13.236532
-43.837402,7,13.247382
-292.812459,71,13.417923
-45.236498,6,13.435817
-44.88284,6,13.448947
-46.358397,16,13.486339
-52.311103,7,13.497494
-42.666169,12,13.52079
-44.079212,6,13.530288
-51.715773,7,13.541224
-69.652154,27,13.589982
-38.899303,28,13.648378
-50.063932,6,13.665206
-45.154748,12,13.687742
-48.963932,9,13.707186
-46.914214,11,13.728973
-83.798332,27,13.776593
-51.243294,16,13.815557
-54.955728,45,13.941638
-242.125818,108,14.146124
-49.771573,14,14.172573
-87.256029,20,14.212795
-42.604854,14,14.240705
