#{"t_start": 1764171135.424743, "env_id": "CityDrone-v0"}
r,l,t
-91.836068,67,0.969026
-50.1,1,0.970131
-54.868623,27,0.985573
-88.343618,89,1.039056
-51.8,2,1.062842
-49.390142,5,1.066981
-199.028057,231,1.215467
-128.0,167,1.300241
-71.528427,47,1.327012
-57.810816,25,1.340455
-51.1,1,1.341392
-46.150162,15,1.349547
-50.1,1,1.351712
-53.9,5,1.354629
-112.577226,116,1.416286
-50.1,1,1.417201
-50.1,1,1.419653
-80.445361,29,1.435377
-50.1,1,1.436361
-60.163741,17,1.447258
-50.1,1,1.449397
-52.9,5,1.45209
-51.8,2,1.453568
-53.9,5,1.457406
-50.216175,36,1.479024
-53.00283,15,1.48725
-47.591846,20,1.497552
-74.951568,52,1.525178
-50.1,1,1.527276
-48.735607,4,1.53015
-50.1,1,1.531225
-58.610434,24,2.292146
-52.5,3,2.297403
-95.286206,89,2.347478
-298.202119,246,2.480541
-146.973875,139,2.554862
-51.7,8,2.560596
-50.8,2,2.562443
-88.984304,86,2.604399
-60.286618,33,2.620892
-58.8,20,2.632478
-69.776894,41,2.6527
-47.902325,3,2.654403
-53.2,4,2.65713
-43.654721,18,2.667731
-49.607876,3,2.669756
-59.082763,20,2.680758
-50.8,2,2.682029
-50.1,1,2.68394
-58.073495,9,2.688999
-99.91044,63,2.720706
-48.629561,15,2.728033
-50.8,2,2.731001
-51.5,3,2.732907
-59.6,15,2.740427
-50.1,1,2.741319
-55.5,9,2.746994
-50.728277,7,2.75059
-89.906527,88,2.796846
-54.2,4,2.799247
-64.51025,12,2.808466
-51.5,3,2.810696
-49.562278,3,2.812891
-90.130692,71,3.514135
-51.8,2,3.516959
-51.5,3,3.518828
-50.541926,6,3.522029
-51.8,5,3.52539
-106.462019,99,3.574263
-73.655113,37,3.592322
-234.946978,236,3.7156
-50.8,2,3.716922
-245.08733,242,3.852178
-50.1,1,3.853109
-46.31868,14,3.860433
-52.1,4,3.863893
-61.823454,35,3.887617
-50.1,1,3.888726
-63.562019,42,3.911783
-50.1,1,3.912587
-77.69998,56,3.944656
-50.1,1,3.945594
-56.6,9,3.950252
-74.477156,50,3.977933
-77.81891,61,4.015192
-67.248172,37,4.036561
-60.3,16,4.045311
-234.834464,64,4.704855
-51.1,4,4.70915
-52.5,3,4.711233
-54.5,6,4.714985
-50.1,1,4.716067
-173.511689,150,4.798544
-50.4,3,4.800278
-69.328735,31,4.816596
-52.2,4,4.819083
-61.8,18,4.830481
-54.084227,34,4.849532
-50.8,2,4.851296
-63.8,35,4.870252
-176.566585,138,4.949991
-115.196285,117,5.01114
-54.6,6,5.015109
-53.6,6,5.018322
-50.1,1,5.02112
-50.1,1,5.022221
-51.890958,4,5.02442
-58.088551,24,5.036914
-51.424555,10,5.043131
-70.9,38,5.063221
-51.8,2,5.064529
-51.758899,6,5.067644
-55.750376,16,5.076856
-50.1,1,5.077747
-50.1,1,5.078657
-53.1,10,5.084278
-80.337742,64,5.118738
-64.062278,20,5.129316
-54.3,7,5.133384
-87.269638,83,5.180194
-76.148498,38,5.202349
-51.1,4,5.204808
-50.8,2,5.206431
-56.5,12,5.212877
-50.1,1,5.215228
-50.1,1,5.216146
-53.183315,14,5.224035
-64.956687,37,5.840405
-53.9,5,5.844909
-60.445978,23,5.856443
-53.2,7,5.860311
-67.957359,31,5.875597
-58.782177,25,5.890221
-55.91973,9,5.895323
-50.775579,8,5.899266
-68.441657,36,5.917054
-50.8,2,5.919738
-53.933312,7,5.923259
-52.612395,11,5.929981
-153.803071,187,6.031783
-50.128627,13,6.046347
-50.1,1,6.048311
-64.594449,23,6.068397
-52.8,8,6.077393
-55.411378,16,6.096846
-50.8,2,6.098988
-58.2,16,6.111322
-57.816625,15,6.12183
-59.486292,31,6.150745
-54.190534,9,6.155589
-52.411695,12,6.161736
-84.281146,78,6.209638
-94.116625,98,6.25942
-91.685786,80,6.300484
-56.443146,13,6.30688
-72.606493,52,6.333774
-48.287971,2,6.337235
-50.720505,8,6.341525
-50.005551,6,6.351365
-51.5,3,6.354805
-53.5,3,6.357773
-61.7,15,6.366369
-52.5,3,6.369026
-55.9,8,6.373782
-50.1,1,6.376363
-51.5,3,6.379116
-59.376894,21,6.396972
-53.2,4,6.399705
-52.926796,19,6.41187
-53.9,5,6.415171
-50.915492,5,6.418975
-87.842918,60,6.454009
