#{"t_start": 1764171409.7455628, "env_id": "CityDrone-v0"}
r,l,t
-93.545361,31,1.231911
-374.672136,233,1.682643
-170.203029,77,1.8614
-115.145523,105,2.061992
-231.055233,233,2.520941
-69.498249,29,2.575754
-47.354639,11,2.597145
-55.056444,14,2.627904
-63.030952,28,2.681229
-115.756687,111,2.908236
-100.770361,89,3.098199
-267.785786,218,4.46363
-220.5,228,5.078019
-98.943991,98,5.261323
-189.014308,138,5.532561
-50.070687,5,5.54132
-82.832056,59,5.655942
-60.478146,19,5.697844
-73.689373,56,5.81271
-56.462477,13,5.843934
-310.412856,222,7.529876
-50.738058,16,7.563572
-56.471068,21,7.601569
-49.654639,8,7.619793
-65.1,32,7.681647
-73.938326,54,7.835542
-62.943146,47,7.972073
-50.777226,9,7.991574
-146.109878,120,8.307615
-53.646129,14,8.338849
-57.701939,18,8.382653
-135.50551,105,8.647892
-60.160565,34,8.738082
-413.727487,222,9.265092
-49.020505,4,9.275575
-50.065666,9,9.291537
-57.3,13,9.323165
-53.443607,8,9.33895
-49.444615,14,9.36533
-129.274101,45,9.457555
-96.838058,66,9.570893
-75.680552,79,9.729263
-53.356291,16,9.763208
-63.028427,14,9.787199
-140.369055,179,10.9659
-186.136068,49,11.068789
-57.520386,19,11.108525
-58.720702,18,11.136115
-123.776514,57,11.249566
-74.554639,94,11.454422
-49.427952,6,11.465357
-203.307641,152,11.786452
-61.675045,35,11.885953
-52.898039,14,11.918294
-70.237742,24,11.980338
-114.778494,65,12.117049
-195.397675,89,12.311382
-352.438515,136,12.582457
-81.049876,65,12.711375
-89.544004,98,13.998831
-55.344004,20,14.035222
-49.063932,9,14.051363
-66.891622,62,14.172468
-297.736573,103,14.392058
-70.552038,20,14.432915
-224.615397,182,14.790923
-85.09902,30,14.891605
-139.225821,74,15.057866
-224.880996,94,15.248019
-47.51779,2,15.257868
-49.337975,2,15.262017
-50.765029,23,15.30794
-131.858919,130,15.564973
-116.419414,65,15.698955
-54.462025,13,15.721596
