episode,r,l
0,-52.569860213373865,7
1,-55.5,6
2,-55.73772233983162,8
3,-51.65463898281274,5
4,-62.070896071961954,31
5,-142.52287584928234,197
6,-55.34519651496822,12
7,-52.80881006356693,5
8,-68.1314077108673,46
9,-152.52435565298217,37
10,-52.038967526525894,8
11,-83.3166247903554,60
12,-206.31310644911224,232
13,-135.69053650640956,164
14,-54.227827657412455,5
15,-55.18276253029822,16
16,-53.60312423743285,7
17,-59.70852673432752,16
18,-217.22042619343483,232
19,-47.584226894136094,12
20,-105.91607978309963,147
21,-109.69707514483872,33
22,-75.19279958497782,72
23,-76.28395350293677,53
24,-56.24987562112089,13
25,-54.46562970354938,18
26,-99.12786404500048,102
27,-50.88279911670711,35
28,-56.96231504359269,22
29,-52.936761765294236,22
30,-51.64264068711928,9
31,-56.46229757203821,27
32,-114.51954445729291,40
33,-50.276894374382344,3
34,-47.711512657163034,13
35,-52.14314575050762,8
36,-83.38174599701898,46
37,99.4,7
38,-186.0093971266328,90
39,-119.50289861842873,133
40,-60.22904875523859,36
41,-68.79999999999998,39
42,-81.9736184954957,18
43,-52.05463898281274,4
44,-82.36128976553613,72
45,-59.506059070698754,23
46,-49.87522632188658,3
47,-69.4469507659596,46
48,100.70000000000002,2
49,-50.115290253488055,7
50,-88.10583010719294,97
51,-67.70715146837163,30
52,-221.01058151448171,239
53,-67.54165738677395,30
54,-127.46682964752642,196
55,-52.89095792258496,7
56,-51.85773251827502,4
57,-87.93965563550162,94
58,-60.88304597359458,18
59,-491.41784286319387,152
60,-62.56587136373636,44
61,-111.24314575050761,97
62,-60.13720521756899,36
63,-169.08732959644828,196
64,-50.365736916945686,4
65,-48.5228758492822,3
66,-129.37157287525392,167
67,-53.60225797711421,9
68,-50.417985838299394,9
69,-196.13047467965157,224
70,-70.43606797749979,29
71,-199.11617453518764,233
72,-70.3923865532643,58
73,-84.47032961426902,77
74,-73.0421652641004,40
75,-50.40971956121446,4
76,-225.71597353999843,241
77,-48.868344134986025,2
78,-54.54327361529561,10
79,-197.43197027986724,221
80,-51.2076408527536,5
81,-95.81844943908712,129
82,-118.87213595499972,156
83,-217.49767473295762,233
84,-62.52310562561766,24
85,-45.539280954882955,7
86,-52.462762811686886,18
87,-92.50037387047777,36
88,-110.99592954979309,32
89,-52.281746971302354,12
90,73.34536101718729,96
91,-120.15382203480121,149
92,-134.97113699207074,174
93,-79.41807394855743,94
94,-139.78073689742868,36
95,-102.82829652811185,124
96,-127.0,88
97,-51.7234989792853,10
98,-67.32445928802464,35
99,-65.88209995562693,35
100,-49.537722339831625,8
101,-60.11200307468969,36
102,-53.21775886743251,6
103,-119.9811396468877,175
104,-76.55621007046959,36
105,-62.060818135958826,26
106,-97.22105702524938,99
107,-52.89908550525891,8
108,-89.74869702597161,106
109,-52.63205642556738,12
110,-66.81019661891045,46
111,-61.51622211280825,33
112,-62.20866228690911,36
113,-52.95416432706232,14
114,-87.13331198658516,65
115,-57.39095792258496,15
116,-114.96997689464163,134
117,-146.96891858477628,219
118,-56.70401704591494,26
119,-76.15183659393531,47
120,-63.31698032773211,39
121,-94.44578708771081,73
122,-59.65203781375218,27
123,-65.5,30
124,-58.748844802629435,15
125,-53.2,7
126,-51.800000000000004,5
127,-63.77213595499958,25
128,-50.09687576256715,14
129,-54.690826113097906,15
130,-60.68000471608265,24
131,-67.63772233983161,39
132,-71.85529470600157,18
133,-71.76935912562743,40
134,-102.73398113205666,131
135,-66.84143840910518,25
136,-64.36152965864055,54
137,-60.01489957540059,21
138,-93.50000000000001,80
139,-53.67361490003763,17
140,-64.10511608265449,44
141,-56.22408611202488,10
142,-55.11196495791432,8
143,-57.41843609780835,14
144,-59.88621148005099,21
145,-404.7488248907597,239
146,-62.21769913968662,22
147,-71.87157287525382,59
148,-54.12455532033676,14
149,-88.21453838184809,30
150,-196.7953000892802,74
151,-205.57400787401195,227
152,-52.300000000000004,15
153,-48.75686889436347,16
154,-61.14652647159458,28
155,-49.44652647159459,3
156,-54.86128976553613,16
157,-46.81547240994098,7
158,-58.0,11
159,-51.7826436582988,19
160,-57.03584068084453,16
161,-50.9104335791443,2
162,-52.886971147865076,11
163,-56.48010988928052,13
164,-71.01832341561487,63
165,-85.5771128530339,83
166,-61.02842712474619,28
167,-56.76095777172295,27
168,-109.1230037140702,30
169,-54.2,7
170,-231.66410161513775,59
171,-200.88010988928067,225
172,-93.84082323154001,106
173,-52.45915342273553,20
174,-368.3991471249784,222
175,-57.2,13
176,-61.59148341145186,41
177,-50.66934912387702,6
178,-59.83693430166986,16
179,-53.88880010518355,9
180,-65.93772233983162,46
181,-71.097625356323,72
182,-53.301960972814435,6
183,-60.13583797928136,26
184,-84.82455532033677,79
185,-49.28998972677006,2
186,-63.2076408527536,27
187,-51.62839156174327,6
188,-51.4433152396473,4
189,-51.827864045000425,9
190,-48.455385138137416,3
191,-129.3055625252716,68
192,-97.47542476779344,116
193,-53.402223751376795,20
194,-59.19901951359279,14
195,-74.33013978662615,56
196,-55.80098048640722,11
197,-78.74860193950109,80
198,-66.61361075169273,30
199,-49.45058111024832,14
