#{"t_start": 1764171146.516048, "env_id": "CityDrone-v0"}
r,l,t
-124.0,65,0.89939
-147.395895,121,0.971133
-52.233415,4,0.974196
-69.81779,47,1.00288
-50.8,2,1.024834
-208.877113,74,1.072127
-58.607641,16,1.083306
-278.788897,169,1.185141
-57.331815,22,1.202717
-52.363349,10,1.209214
-86.443146,66,1.248315
-55.244445,16,1.258309
-68.499505,31,1.281195
-79.066611,51,1.32333
-56.168653,13,1.335377
-58.017327,27,1.352206
-56.109044,11,1.359869
-53.024968,14,1.369274
-58.166149,21,1.383016
-72.554149,11,1.390271
-48.66019,6,1.395798
-171.937722,47,1.426837
-70.524086,37,1.453397
-80.471573,44,1.484301
-54.017852,8,1.494034
-66.323106,26,1.514052
-201.056114,79,1.911656
-89.472078,46,1.959992
-57.39902,10,1.967505
-237.2,122,2.032308
-50.102208,3,2.034437
-51.568129,12,2.040743
-50.833899,5,2.045723
-50.951837,4,2.04888
-49.548845,3,2.051706
-70.846274,44,2.074031
-55.236068,8,2.080338
-55.31973,11,2.086943
-60.523218,18,2.097585
-100.40645,85,2.141091
-56.377113,18,2.151397
-60.751881,44,2.173593
-57.681792,18,2.186515
-66.849304,27,2.202631
-57.400853,14,2.213015
-217.689075,231,2.347907
-55.336364,22,2.359707
-54.323014,13,2.367834
-60.347165,31,2.386722
-62.191609,32,2.403127
-51.8,2,2.404914
-88.412211,50,2.4342
-66.79121,44,2.464521
-48.95373,2,2.466061
-55.5,15,2.474543
-54.636934,10,2.480409
-55.9,14,2.493502
-53.076894,7,4.410314
-59.990534,27,4.425024
-53.722876,9,4.430088
-70.24813,39,4.451452
-197.371099,105,4.50713
-53.367708,14,4.514291
-51.411695,9,4.518599
-94.699485,32,4.539405
-53.2149,8,4.543498
-49.057171,4,4.546078
-58.797353,24,4.560474
-187.630952,101,4.637397
-88.845557,95,4.689639
-50.335346,4,4.691924
-52.599495,8,4.697801
-54.578586,11,4.70744
-48.786971,2,4.708856
-52.516257,9,4.714791
-51.5,3,4.716499
-65.974342,26,4.735048
-47.963932,9,4.740232
-54.91779,16,4.749696
-68.90508,36,4.770171
-68.977226,28,4.787989
-58.844563,19,4.799367
-49.183346,4,4.801584
-65.417843,45,4.826574
-57.389075,24,4.845037
-53.66986,7,4.850253
-50.301466,3,4.851956
-53.245361,4,4.856163
-61.870505,26,4.873395
-49.492431,3,4.875134
-53.299086,7,4.879237
-51.214214,2,4.881384
-179.707924,233,5.125998
-53.2,10,6.955534
-204.62967,130,7.020476
72.3,71,7.060471
-50.8,5,7.065844
-53.578146,12,7.074173
-50.825511,6,7.077783
-59.874298,18,7.089247
-52.233899,7,7.095162
-51.364337,5,7.100368
-66.044366,32,7.124967
-48.782763,5,7.127725
-87.876894,27,7.143759
-50.7,8,7.149197
-227.694002,238,7.270848
-50.923106,2,7.272777
-49.502258,3,7.276957
-127.636068,152,7.356309
-51.193519,10,7.362203
-61.021505,17,7.37388
-52.995199,8,7.381924
-254.6,242,8.835308
-104.170505,109,8.896742
-58.055385,11,8.902734
-106.271573,115,8.984289
-68.423106,23,8.999653
-52.549876,6,9.003851
-49.212302,15,9.012221
-50.317237,3,9.016486
-54.463068,8,9.020995
-219.643146,97,9.07419
-96.987212,85,9.119954
-74.38358,55,9.152317
-258.008204,241,9.307361
-48.746605,10,9.314923
-49.4,3,9.316942
-141.716764,196,9.457586
